"event","experiment time","system time","system time text"
"START",0.000000000E0,1694107161.308,"2023-09-07 19:19:21.308 UTC+02:00"
"PAUSE",4.898119935E1,1694107210.290,"2023-09-07 19:20:10.290 UTC+02:00"
