"event","experiment time","system time","system time text"
"START",0.000000000E0,1694107160.373,"2023-09-07 19:19:20.373 UTC+02:00"
"PAUSE",4.913006922E1,1694107209.504,"2023-09-07 19:20:09.504 UTC+02:00"
