epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667849022456,2022-11-07T20.23.42.456,13.976,-0.266,-0.177,0.936
1667849022476,2022-11-07T20.23.42.476,13.996,-0.273,-0.106,0.979
1667849022495,2022-11-07T20.23.42.495,14.015,-0.270,-0.088,1.016
1667849022516,2022-11-07T20.23.42.516,14.036,-0.238,-0.104,1.001
1667849022536,2022-11-07T20.23.42.536,14.056,-0.248,-0.139,0.937
1667849022556,2022-11-07T20.23.42.556,14.076,-0.288,-0.202,0.887
1667849022576,2022-11-07T20.23.42.576,14.096,-0.300,-0.268,0.894
1667849022595,2022-11-07T20.23.42.595,14.115,-0.307,-0.233,0.936
1667849022616,2022-11-07T20.23.42.616,14.136,-0.279,-0.202,0.972
1667849022635,2022-11-07T20.23.42.635,14.155,-0.256,-0.208,1.025
1667849022655,2022-11-07T20.23.42.655,14.175,-0.214,-0.199,1.047
1667849022674,2022-11-07T20.23.42.674,14.194,-0.210,-0.176,1.053
1667849022695,2022-11-07T20.23.42.695,14.215,-0.237,-0.175,1.071
1667849022715,2022-11-07T20.23.42.715,14.235,-0.265,-0.185,1.021
1667849022734,2022-11-07T20.23.42.734,14.254,-0.273,-0.194,0.912
1667849022755,2022-11-07T20.23.42.755,14.275,-0.241,-0.251,0.874
1667849022774,2022-11-07T20.23.42.774,14.294,-0.208,-0.253,0.958
1667849022794,2022-11-07T20.23.42.794,14.314,-0.191,-0.172,1.068
1667849022813,2022-11-07T20.23.42.813,14.333,-0.200,-0.069,1.125
1667849022834,2022-11-07T20.23.42.834,14.354,-0.186,-0.070,1.075
1667849022853,2022-11-07T20.23.42.853,14.373,-0.158,-0.174,0.958
1667849022873,2022-11-07T20.23.42.873,14.393,-0.133,-0.248,0.899
1667849022894,2022-11-07T20.23.42.894,14.414,-0.130,-0.231,0.901
1667849022913,2022-11-07T20.23.42.913,14.433,-0.137,-0.175,0.912
1667849022933,2022-11-07T20.23.42.933,14.453,-0.139,-0.171,0.971
1667849022952,2022-11-07T20.23.42.952,14.472,-0.119,-0.208,1.036
1667849022973,2022-11-07T20.23.42.973,14.493,-0.130,-0.228,1.051
1667849022992,2022-11-07T20.23.42.992,14.512,-0.167,-0.262,0.991
1667849023013,2022-11-07T20.23.43.013,14.533,-0.167,-0.295,0.889
1667849023032,2022-11-07T20.23.43.032,14.552,-0.197,-0.308,0.862
1667849023052,2022-11-07T20.23.43.052,14.572,-0.180,-0.250,0.970
1667849023073,2022-11-07T20.23.43.073,14.593,-0.120,-0.166,1.096
1667849023092,2022-11-07T20.23.43.092,14.612,-0.144,-0.186,1.116
1667849023112,2022-11-07T20.23.43.112,14.632,-0.202,-0.242,1.040
1667849023131,2022-11-07T20.23.43.131,14.651,-0.216,-0.248,0.974
1667849023152,2022-11-07T20.23.43.152,14.672,-0.229,-0.198,0.980
1667849023171,2022-11-07T20.23.43.171,14.691,-0.221,-0.176,0.963
1667849023191,2022-11-07T20.23.43.191,14.711,-0.212,-0.214,0.983
1667849023210,2022-11-07T20.23.43.210,14.730,-0.200,-0.180,1.023
1667849023231,2022-11-07T20.23.43.231,14.751,-0.204,-0.104,1.062
1667849023251,2022-11-07T20.23.43.251,14.771,-0.214,-0.110,1.105
1667849023270,2022-11-07T20.23.43.270,14.790,-0.223,-0.234,1.105
1667849023291,2022-11-07T20.23.43.291,14.811,-0.230,-0.276,1.086
1667849023310,2022-11-07T20.23.43.310,14.830,-0.224,-0.235,1.067
1667849023330,2022-11-07T20.23.43.330,14.850,-0.243,-0.171,1.070
1667849023349,2022-11-07T20.23.43.349,14.869,-0.188,-0.074,1.073
1667849023370,2022-11-07T20.23.43.370,14.890,-0.166,-0.037,1.025
1667849023389,2022-11-07T20.23.43.389,14.909,-0.225,-0.144,0.968
1667849023410,2022-11-07T20.23.43.410,14.930,-0.253,-0.202,0.882
1667849023430,2022-11-07T20.23.43.430,14.950,-0.215,-0.167,0.794
1667849023449,2022-11-07T20.23.43.449,14.969,-0.177,-0.088,0.792
1667849023470,2022-11-07T20.23.43.470,14.990,-0.145,-0.085,0.847
1667849023489,2022-11-07T20.23.43.489,15.009,-0.166,-0.143,0.902
1667849023509,2022-11-07T20.23.43.509,15.029,-0.210,-0.162,0.925
1667849023528,2022-11-07T20.23.43.528,15.048,-0.193,-0.167,0.926
1667849023549,2022-11-07T20.23.43.549,15.069,-0.188,-0.155,0.919
1667849023568,2022-11-07T20.23.43.568,15.088,-0.173,-0.135,0.957
1667849023588,2022-11-07T20.23.43.588,15.108,-0.186,-0.136,1.022
1667849023609,2022-11-07T20.23.43.609,15.129,-0.204,-0.164,1.036
1667849023628,2022-11-07T20.23.43.628,15.148,-0.190,-0.144,0.981
1667849023648,2022-11-07T20.23.43.648,15.168,-0.173,-0.089,0.929
1667849023667,2022-11-07T20.23.43.667,15.187,-0.167,-0.079,0.924
1667849023688,2022-11-07T20.23.43.688,15.208,-0.154,-0.155,0.920
1667849023707,2022-11-07T20.23.43.707,15.227,-0.177,-0.257,0.891
1667849023727,2022-11-07T20.23.43.727,15.247,-0.163,-0.283,0.889
1667849023746,2022-11-07T20.23.43.746,15.266,-0.145,-0.237,0.878
1667849023767,2022-11-07T20.23.43.767,15.287,-0.178,-0.203,0.894
1667849023786,2022-11-07T20.23.43.786,15.306,-0.226,-0.204,0.936
1667849023807,2022-11-07T20.23.43.807,15.327,-0.229,-0.185,0.945
1667849023827,2022-11-07T20.23.43.827,15.347,-0.196,-0.136,1.025
1667849023846,2022-11-07T20.23.43.846,15.366,-0.165,-0.036,1.076
1667849023867,2022-11-07T20.23.43.867,15.387,-0.205,-0.087,1.045
1667849023886,2022-11-07T20.23.43.886,15.406,-0.280,-0.243,1.004
1667849023906,2022-11-07T20.23.43.906,15.426,-0.232,-0.289,1.040
1667849023925,2022-11-07T20.23.43.925,15.445,-0.161,-0.250,1.104
1667849023946,2022-11-07T20.23.43.946,15.466,-0.170,-0.233,1.108
1667849023965,2022-11-07T20.23.43.965,15.485,-0.178,-0.180,1.060
1667849023985,2022-11-07T20.23.43.985,15.505,-0.150,-0.083,1.013
1667849024006,2022-11-07T20.23.44.006,15.526,-0.105,-0.031,1.010
1667849024025,2022-11-07T20.23.44.025,15.545,-0.127,-0.069,1.020
1667849024045,2022-11-07T20.23.44.045,15.565,-0.148,-0.104,1.012
1667849024064,2022-11-07T20.23.44.064,15.584,-0.153,-0.082,0.958
1667849024085,2022-11-07T20.23.44.085,15.605,-0.147,-0.066,0.877
1667849024104,2022-11-07T20.23.44.104,15.624,-0.124,-0.173,0.853
1667849024124,2022-11-07T20.23.44.124,15.644,-0.133,-0.269,0.926
1667849024143,2022-11-07T20.23.44.143,15.663,-0.119,-0.220,0.991
1667849024164,2022-11-07T20.23.44.164,15.684,-0.105,-0.128,1.037
1667849024184,2022-11-07T20.23.44.184,15.704,-0.124,-0.106,1.066
1667849024203,2022-11-07T20.23.44.203,15.723,-0.122,-0.198,1.061
1667849024224,2022-11-07T20.23.44.224,15.744,-0.179,-0.251,1.020
1667849024243,2022-11-07T20.23.44.243,15.763,-0.155,-0.224,0.972
1667849024264,2022-11-07T20.23.44.264,15.784,-0.074,-0.185,0.922
1667849024283,2022-11-07T20.23.44.283,15.803,-0.110,-0.171,0.924
1667849024303,2022-11-07T20.23.44.303,15.823,-0.188,-0.185,0.864
1667849024322,2022-11-07T20.23.44.322,15.842,-0.218,-0.182,0.832
1667849024343,2022-11-07T20.23.44.343,15.863,-0.153,-0.213,0.886
1667849024363,2022-11-07T20.23.44.363,15.883,-0.117,-0.212,0.999
1667849024382,2022-11-07T20.23.44.382,15.902,-0.180,-0.137,1.077
1667849024403,2022-11-07T20.23.44.403,15.923,-0.257,-0.124,1.031
1667849024422,2022-11-07T20.23.44.422,15.942,-0.275,-0.169,0.933
1667849024442,2022-11-07T20.23.44.442,15.962,-0.191,-0.231,0.960
1667849024461,2022-11-07T20.23.44.461,15.981,-0.102,-0.159,1.139
1667849024482,2022-11-07T20.23.44.482,16.002,-0.173,-0.042,1.167
1667849024501,2022-11-07T20.23.44.501,16.021,-0.312,-0.007,1.051
1667849024521,2022-11-07T20.23.44.521,16.041,-0.266,-0.037,0.911
1667849024542,2022-11-07T20.23.44.542,16.062,-0.204,-0.115,0.911
1667849024561,2022-11-07T20.23.44.561,16.081,-0.206,-0.239,1.063
1667849024581,2022-11-07T20.23.44.581,16.101,-0.226,-0.218,1.192
1667849024600,2022-11-07T20.23.44.600,16.120,-0.199,-0.098,1.215
1667849024621,2022-11-07T20.23.44.621,16.141,-0.175,-0.006,1.096
1667849024640,2022-11-07T20.23.44.640,16.160,-0.150,-0.024,0.926
1667849024661,2022-11-07T20.23.44.661,16.181,-0.125,-0.118,0.832
1667849024680,2022-11-07T20.23.44.680,16.200,-0.153,-0.104,0.818
1667849024700,2022-11-07T20.23.44.700,16.220,-0.181,-0.031,0.856
1667849024721,2022-11-07T20.23.44.721,16.241,-0.165,-0.010,0.867
1667849024740,2022-11-07T20.23.44.740,16.260,-0.169,-0.064,0.865
1667849024760,2022-11-07T20.23.44.760,16.280,-0.171,-0.124,0.912
1667849024779,2022-11-07T20.23.44.779,16.299,-0.187,-0.119,0.919
1667849024800,2022-11-07T20.23.44.800,16.320,-0.161,-0.158,0.987
1667849024819,2022-11-07T20.23.44.819,16.339,-0.140,-0.208,1.053
1667849024839,2022-11-07T20.23.44.839,16.359,-0.173,-0.159,1.110
1667849024858,2022-11-07T20.23.44.858,16.378,-0.183,-0.109,1.163
1667849024879,2022-11-07T20.23.44.879,16.399,-0.174,-0.086,1.096
1667849024899,2022-11-07T20.23.44.899,16.419,-0.149,-0.126,1.034
1667849024918,2022-11-07T20.23.44.918,16.438,-0.201,-0.159,1.011
1667849024939,2022-11-07T20.23.44.939,16.459,-0.225,-0.157,0.992
1667849024958,2022-11-07T20.23.44.958,16.478,-0.172,-0.113,1.014
1667849024978,2022-11-07T20.23.44.978,16.498,-0.104,-0.104,1.032
1667849024997,2022-11-07T20.23.44.997,16.517,-0.135,-0.107,0.974
1667849025018,2022-11-07T20.23.45.018,16.538,-0.161,-0.123,0.913
1667849025037,2022-11-07T20.23.45.037,16.557,-0.156,-0.146,0.858
1667849025057,2022-11-07T20.23.45.057,16.577,-0.157,-0.137,0.851
1667849025078,2022-11-07T20.23.45.078,16.598,-0.131,-0.104,0.886
1667849025097,2022-11-07T20.23.45.097,16.617,-0.164,-0.109,0.932
1667849025118,2022-11-07T20.23.45.118,16.638,-0.236,-0.095,0.947
1667849025137,2022-11-07T20.23.45.137,16.657,-0.206,-0.134,0.955
1667849025157,2022-11-07T20.23.45.157,16.677,-0.217,-0.141,1.007
1667849025176,2022-11-07T20.23.45.176,16.696,-0.196,-0.080,1.106
1667849025197,2022-11-07T20.23.45.197,16.717,-0.182,0.001,1.187
1667849025216,2022-11-07T20.23.45.216,16.736,-0.207,-0.040,1.183
1667849025236,2022-11-07T20.23.45.236,16.756,-0.225,-0.087,1.104
1667849025257,2022-11-07T20.23.45.257,16.777,-0.148,-0.085,1.059
1667849025276,2022-11-07T20.23.45.276,16.796,-0.124,-0.045,1.033
1667849025296,2022-11-07T20.23.45.296,16.816,-0.188,-0.102,0.979
1667849025315,2022-11-07T20.23.45.315,16.835,-0.236,-0.162,0.938
1667849025336,2022-11-07T20.23.45.336,16.856,-0.197,-0.075,0.886
1667849025355,2022-11-07T20.23.45.355,16.875,-0.114,0.052,0.887
1667849025375,2022-11-07T20.23.45.375,16.895,-0.082,0.062,0.958
1667849025394,2022-11-07T20.23.45.394,16.914,-0.149,-0.029,1.017
1667849025415,2022-11-07T20.23.45.415,16.935,-0.241,-0.015,0.927
1667849025435,2022-11-07T20.23.45.435,16.955,-0.174,0.008,0.818
1667849025454,2022-11-07T20.23.45.454,16.974,-0.131,-0.029,0.829
1667849025475,2022-11-07T20.23.45.475,16.995,-0.148,-0.128,0.908
1667849025494,2022-11-07T20.23.45.494,17.014,-0.209,-0.125,0.924
1667849025515,2022-11-07T20.23.45.515,17.035,-0.169,-0.025,0.927
1667849025534,2022-11-07T20.23.45.534,17.054,-0.077,0.050,0.917
1667849025554,2022-11-07T20.23.45.554,17.074,-0.070,0.036,0.906
1667849025573,2022-11-07T20.23.45.573,17.093,-0.120,-0.059,0.947
1667849025594,2022-11-07T20.23.45.594,17.114,-0.161,-0.102,0.971
1667849025614,2022-11-07T20.23.45.614,17.134,-0.139,-0.152,0.950
1667849025633,2022-11-07T20.23.45.633,17.153,-0.136,-0.182,0.925
1667849025654,2022-11-07T20.23.45.654,17.174,-0.024,-0.188,0.999
1667849025673,2022-11-07T20.23.45.673,17.193,-0.007,-0.141,1.060
1667849025693,2022-11-07T20.23.45.693,17.213,-0.144,-0.088,1.056
1667849025712,2022-11-07T20.23.45.712,17.232,-0.181,-0.183,1.015
1667849025733,2022-11-07T20.23.45.733,17.253,-0.107,-0.267,0.959
1667849025752,2022-11-07T20.23.45.752,17.272,-0.019,-0.223,1.037
1667849025772,2022-11-07T20.23.45.772,17.292,-0.055,-0.111,1.203
1667849025793,2022-11-07T20.23.45.793,17.313,-0.124,-0.041,1.200
1667849025812,2022-11-07T20.23.45.812,17.332,-0.071,-0.084,1.119
1667849025832,2022-11-07T20.23.45.832,17.352,-0.039,-0.208,0.961
1667849025851,2022-11-07T20.23.45.851,17.371,-0.105,-0.189,0.932
1667849025872,2022-11-07T20.23.45.872,17.392,-0.044,-0.113,1.024
1667849025891,2022-11-07T20.23.45.891,17.411,-0.040,-0.130,1.040
1667849025911,2022-11-07T20.23.45.911,17.431,-0.092,-0.247,0.986
1667849025931,2022-11-07T20.23.45.931,17.451,-0.090,-0.301,0.876
1667849025951,2022-11-07T20.23.45.951,17.471,-0.101,-0.214,0.857
1667849025970,2022-11-07T20.23.45.970,17.490,-0.070,-0.149,0.874
1667849025991,2022-11-07T20.23.45.991,17.511,-0.058,-0.180,0.889
1667849026011,2022-11-07T20.23.46.011,17.531,-0.119,-0.130,0.931
1667849026030,2022-11-07T20.23.46.030,17.550,-0.048,-0.076,1.011
1667849026051,2022-11-07T20.23.46.051,17.571,-0.043,-0.124,0.924
1667849026070,2022-11-07T20.23.46.070,17.590,0.004,-0.220,0.860
1667849026090,2022-11-07T20.23.46.090,17.610,-0.029,-0.303,0.882
1667849026109,2022-11-07T20.23.46.109,17.629,-0.077,-0.303,0.904
1667849026130,2022-11-07T20.23.46.130,17.650,-0.060,-0.210,0.955
1667849026149,2022-11-07T20.23.46.149,17.669,-0.050,-0.247,0.959
1667849026169,2022-11-07T20.23.46.169,17.689,-0.078,-0.253,0.984
1667849026190,2022-11-07T20.23.46.190,17.710,-0.036,-0.183,0.978
1667849026209,2022-11-07T20.23.46.209,17.729,-0.059,-0.104,0.979
1667849026229,2022-11-07T20.23.46.229,17.749,-0.115,-0.052,0.950
1667849026248,2022-11-07T20.23.46.248,17.768,-0.090,-0.069,0.915
1667849026269,2022-11-07T20.23.46.269,17.789,-0.176,-0.074,0.934
1667849026288,2022-11-07T20.23.46.288,17.808,-0.148,-0.045,1.052
1667849026308,2022-11-07T20.23.46.308,17.828,-0.125,-0.012,1.075
1667849026327,2022-11-07T20.23.46.327,17.847,-0.154,-0.034,1.070
1667849026348,2022-11-07T20.23.46.348,17.868,-0.145,-0.120,1.066
1667849026369,2022-11-07T20.23.46.369,17.889,-0.188,-0.176,1.044
1667849026388,2022-11-07T20.23.46.388,17.908,-0.113,-0.128,1.054
1667849026408,2022-11-07T20.23.46.408,17.928,-0.052,-0.074,1.022
1667849026427,2022-11-07T20.23.46.427,17.947,-0.060,-0.140,0.996
1667849026448,2022-11-07T20.23.46.448,17.968,-0.129,-0.226,0.972
1667849026467,2022-11-07T20.23.46.467,17.987,-0.198,-0.282,0.996
1667849026487,2022-11-07T20.23.46.487,18.007,-0.124,-0.245,0.988
1667849026506,2022-11-07T20.23.46.506,18.026,-0.110,-0.156,0.885
1667849026527,2022-11-07T20.23.46.527,18.047,-0.094,-0.106,0.903
1667849026547,2022-11-07T20.23.46.547,18.067,-0.142,-0.068,0.993
1667849026566,2022-11-07T20.23.46.566,18.086,-0.207,-0.090,0.959
1667849026587,2022-11-07T20.23.46.587,18.107,-0.235,-0.106,0.980
1667849026606,2022-11-07T20.23.46.606,18.126,-0.126,-0.263,1.073
1667849026626,2022-11-07T20.23.46.626,18.146,-0.174,-0.401,1.073
1667849026645,2022-11-07T20.23.46.645,18.165,-0.210,-0.269,1.051
1667849026666,2022-11-07T20.23.46.666,18.186,-0.098,0.032,1.060
1667849026685,2022-11-07T20.23.46.685,18.205,-0.050,0.164,0.993
1667849026705,2022-11-07T20.23.46.705,18.225,-0.158,0.019,0.982
1667849026726,2022-11-07T20.23.46.726,18.246,-0.277,-0.053,0.949
1667849026745,2022-11-07T20.23.46.745,18.265,-0.195,-0.034,0.988
1667849026765,2022-11-07T20.23.46.765,18.285,-0.170,-0.120,0.980
1667849026785,2022-11-07T20.23.46.785,18.305,-0.178,-0.187,0.985
1667849026805,2022-11-07T20.23.46.805,18.325,-0.095,-0.071,1.132
1667849026824,2022-11-07T20.23.46.824,18.344,-0.028,0.001,1.156
1667849026845,2022-11-07T20.23.46.845,18.365,-0.112,-0.037,1.045
1667849026864,2022-11-07T20.23.46.864,18.384,-0.149,-0.138,0.986
1667849026884,2022-11-07T20.23.46.884,18.404,-0.147,-0.168,1.065
1667849026905,2022-11-07T20.23.46.905,18.425,-0.095,-0.133,1.173
1667849026924,2022-11-07T20.23.46.924,18.444,-0.126,-0.029,1.128
1667849026944,2022-11-07T20.23.46.944,18.464,-0.115,-0.015,1.019
1667849026963,2022-11-07T20.23.46.963,18.483,-0.099,-0.108,0.940
1667849026984,2022-11-07T20.23.46.984,18.504,-0.123,-0.141,0.901
1667849027003,2022-11-07T20.23.47.003,18.523,-0.116,-0.090,0.883
1667849027023,2022-11-07T20.23.47.023,18.543,-0.145,-0.027,0.853
1667849027042,2022-11-07T20.23.47.042,18.562,-0.164,-0.034,0.842
1667849027063,2022-11-07T20.23.47.063,18.583,-0.154,-0.101,0.874
1667849027083,2022-11-07T20.23.47.083,18.603,-0.150,-0.147,1.011
1667849027102,2022-11-07T20.23.47.102,18.622,-0.172,-0.227,1.090
1667849027123,2022-11-07T20.23.47.123,18.643,-0.223,-0.148,1.119
1667849027142,2022-11-07T20.23.47.142,18.662,-0.192,-0.070,1.085
1667849027162,2022-11-07T20.23.47.162,18.682,-0.201,-0.029,1.055
1667849027182,2022-11-07T20.23.47.182,18.702,-0.193,0.007,1.053
1667849027202,2022-11-07T20.23.47.202,18.722,-0.133,0.083,1.116
1667849027221,2022-11-07T20.23.47.221,18.741,-0.117,0.030,1.149
1667849027242,2022-11-07T20.23.47.242,18.762,-0.181,-0.122,1.075
1667849027262,2022-11-07T20.23.47.262,18.782,-0.194,-0.044,0.971
1667849027281,2022-11-07T20.23.47.281,18.801,-0.101,0.029,0.847
1667849027302,2022-11-07T20.23.47.302,18.822,-0.083,-0.037,0.821
1667849027321,2022-11-07T20.23.47.321,18.841,-0.111,-0.112,0.863
1667849027341,2022-11-07T20.23.47.341,18.861,-0.083,-0.170,0.870
1667849027360,2022-11-07T20.23.47.360,18.880,-0.078,-0.271,0.859
1667849027381,2022-11-07T20.23.47.381,18.901,-0.121,-0.212,0.935
1667849027400,2022-11-07T20.23.47.400,18.920,-0.049,-0.167,1.021
1667849027420,2022-11-07T20.23.47.420,18.940,-0.158,-0.095,0.992
1667849027441,2022-11-07T20.23.47.441,18.961,-0.101,-0.094,0.989
1667849027460,2022-11-07T20.23.47.460,18.980,-0.057,-0.200,0.983
1667849027480,2022-11-07T20.23.47.480,19.000,-0.018,-0.182,1.091
1667849027499,2022-11-07T20.23.47.499,19.019,-0.017,-0.067,1.149
1667849027520,2022-11-07T20.23.47.520,19.040,-0.123,0.011,1.065
1667849027539,2022-11-07T20.23.47.539,19.059,-0.207,-0.090,0.890
1667849027559,2022-11-07T20.23.47.559,19.079,-0.207,-0.155,0.844
1667849027578,2022-11-07T20.23.47.578,19.098,-0.102,-0.153,0.986
1667849027599,2022-11-07T20.23.47.599,19.119,-0.122,-0.186,1.088
1667849027619,2022-11-07T20.23.47.619,19.139,-0.240,-0.130,1.156
1667849027639,2022-11-07T20.23.47.639,19.159,-0.229,-0.033,1.186
1667849027659,2022-11-07T20.23.47.659,19.179,-0.145,0.058,1.173
1667849027678,2022-11-07T20.23.47.678,19.198,-0.076,0.048,1.087
1667849027699,2022-11-07T20.23.47.699,19.219,-0.114,0.060,1.087
1667849027718,2022-11-07T20.23.47.718,19.238,-0.174,0.080,1.089
1667849027738,2022-11-07T20.23.47.738,19.258,-0.211,0.051,1.004
1667849027757,2022-11-07T20.23.47.757,19.277,-0.189,-0.001,0.899
1667849027778,2022-11-07T20.23.47.778,19.298,-0.209,-0.105,0.912
1667849027798,2022-11-07T20.23.47.798,19.318,-0.268,-0.259,0.970
1667849027817,2022-11-07T20.23.47.817,19.337,-0.305,-0.304,1.033
1667849027838,2022-11-07T20.23.47.838,19.358,-0.223,-0.285,1.019
1667849027857,2022-11-07T20.23.47.857,19.377,-0.199,-0.153,0.996
1667849027877,2022-11-07T20.23.47.877,19.397,-0.158,0.053,1.026
1667849027896,2022-11-07T20.23.47.896,19.416,-0.073,0.263,1.041
1667849027917,2022-11-07T20.23.47.917,19.437,-0.043,0.249,1.004
1667849027936,2022-11-07T20.23.47.936,19.456,-0.090,-0.077,1.007
1667849027956,2022-11-07T20.23.47.956,19.476,-0.238,-0.333,0.999
1667849027975,2022-11-07T20.23.47.975,19.495,-0.280,-0.371,1.021
1667849027996,2022-11-07T20.23.47.996,19.516,-0.230,-0.247,1.079
1667849028016,2022-11-07T20.23.48.016,19.536,-0.175,-0.151,1.116
1667849028036,2022-11-07T20.23.48.036,19.556,-0.161,-0.111,1.137
1667849028056,2022-11-07T20.23.48.056,19.576,-0.162,-0.078,1.064
1667849028075,2022-11-07T20.23.48.075,19.595,-0.163,-0.021,0.986
1667849028096,2022-11-07T20.23.48.096,19.616,-0.202,-0.021,1.021
1667849028115,2022-11-07T20.23.48.115,19.635,-0.230,-0.089,1.067
1667849028135,2022-11-07T20.23.48.135,19.655,-0.274,-0.136,1.006
1667849028154,2022-11-07T20.23.48.154,19.674,-0.245,-0.187,0.953
1667849028175,2022-11-07T20.23.48.175,19.695,-0.225,-0.211,0.938
1667849028195,2022-11-07T20.23.48.195,19.715,-0.155,-0.215,0.992
1667849028214,2022-11-07T20.23.48.214,19.734,-0.159,-0.197,1.025
1667849028235,2022-11-07T20.23.48.235,19.755,-0.096,-0.167,0.919
1667849028254,2022-11-07T20.23.48.254,19.774,-0.036,-0.038,0.848
1667849028274,2022-11-07T20.23.48.274,19.794,-0.011,-0.010,0.889
1667849028293,2022-11-07T20.23.48.293,19.813,-0.112,-0.141,0.919
1667849028314,2022-11-07T20.23.48.314,19.834,-0.122,-0.310,0.893
1667849028333,2022-11-07T20.23.48.333,19.853,-0.091,-0.330,0.846
1667849028353,2022-11-07T20.23.48.353,19.873,-0.118,-0.197,0.873
1667849028374,2022-11-07T20.23.48.374,19.894,-0.075,-0.149,0.939
1667849028393,2022-11-07T20.23.48.393,19.913,-0.019,-0.122,1.013
1667849028413,2022-11-07T20.23.48.413,19.933,0.041,-0.104,0.920
1667849028432,2022-11-07T20.23.48.432,19.952,-0.048,-0.041,0.907
1667849028453,2022-11-07T20.23.48.453,19.973,-0.114,-0.037,0.964
1667849028472,2022-11-07T20.23.48.472,19.992,-0.189,-0.144,0.953
1667849028493,2022-11-07T20.23.48.493,20.013,-0.235,-0.218,0.952
1667849028512,2022-11-07T20.23.48.512,20.032,-0.160,-0.311,1.008
1667849028532,2022-11-07T20.23.48.532,20.052,-0.183,-0.409,1.016
1667849028553,2022-11-07T20.23.48.553,20.073,-0.216,-0.356,0.957
1667849028572,2022-11-07T20.23.48.572,20.092,-0.137,-0.175,0.937
1667849028592,2022-11-07T20.23.48.592,20.112,-0.107,0.068,0.955
1667849028611,2022-11-07T20.23.48.611,20.131,-0.023,0.042,0.914
1667849028632,2022-11-07T20.23.48.632,20.152,-0.032,-0.154,0.902
1667849028651,2022-11-07T20.23.48.651,20.171,-0.113,-0.155,0.908
1667849028671,2022-11-07T20.23.48.671,20.191,-0.084,-0.009,0.967
1667849028690,2022-11-07T20.23.48.690,20.210,-0.042,0.001,1.013
1667849028711,2022-11-07T20.23.48.711,20.231,-0.086,-0.140,1.003
1667849028731,2022-11-07T20.23.48.731,20.251,-0.133,-0.203,0.992
1667849028750,2022-11-07T20.23.48.750,20.270,-0.156,-0.058,1.007
1667849028771,2022-11-07T20.23.48.771,20.291,-0.127,0.062,1.009
1667849028790,2022-11-07T20.23.48.790,20.310,-0.082,-0.027,0.979
1667849028810,2022-11-07T20.23.48.810,20.330,-0.111,-0.184,0.973
1667849028829,2022-11-07T20.23.48.829,20.349,-0.111,-0.058,0.998
1667849028850,2022-11-07T20.23.48.850,20.370,-0.032,0.026,0.989
1667849028869,2022-11-07T20.23.48.869,20.389,-0.155,-0.199,0.880
1667849028890,2022-11-07T20.23.48.890,20.410,-0.157,-0.338,0.886
1667849028910,2022-11-07T20.23.48.910,20.430,-0.104,-0.274,0.934
1667849028929,2022-11-07T20.23.48.929,20.449,-0.143,-0.144,0.936
1667849028950,2022-11-07T20.23.48.950,20.470,-0.070,-0.007,1.009
1667849028969,2022-11-07T20.23.48.969,20.489,0.008,0.118,1.139
1667849028989,2022-11-07T20.23.48.989,20.509,-0.072,-0.041,1.171
1667849029008,2022-11-07T20.23.49.008,20.528,-0.127,-0.243,1.185
1667849029029,2022-11-07T20.23.49.029,20.549,-0.124,-0.215,1.137
1667849029048,2022-11-07T20.23.49.048,20.568,-0.082,-0.196,1.067
1667849029068,2022-11-07T20.23.49.068,20.588,-0.072,-0.165,1.093
1667849029089,2022-11-07T20.23.49.089,20.609,-0.052,-0.189,1.101
1667849029108,2022-11-07T20.23.49.108,20.628,-0.138,-0.223,1.072
1667849029128,2022-11-07T20.23.49.128,20.648,-0.108,-0.424,1.005
1667849029147,2022-11-07T20.23.49.147,20.667,-0.257,-0.574,1.013
1667849029168,2022-11-07T20.23.49.168,20.688,-0.333,-0.394,1.099
1667849029187,2022-11-07T20.23.49.187,20.707,-0.188,-0.188,1.125
1667849029207,2022-11-07T20.23.49.207,20.727,-0.112,-0.253,1.003
1667849029226,2022-11-07T20.23.49.226,20.746,-0.173,-0.216,0.990
1667849029247,2022-11-07T20.23.49.247,20.767,-0.022,-0.007,1.035
1667849029267,2022-11-07T20.23.49.267,20.787,-0.009,0.044,1.052
1667849029286,2022-11-07T20.23.49.286,20.806,-0.165,-0.236,0.985
1667849029307,2022-11-07T20.23.49.307,20.827,-0.256,-0.455,0.907
1667849029326,2022-11-07T20.23.49.326,20.846,-0.388,-0.340,0.910
1667849029347,2022-11-07T20.23.49.347,20.867,-0.214,-0.005,1.082
1667849029366,2022-11-07T20.23.49.366,20.886,-0.085,0.246,1.013
1667849029386,2022-11-07T20.23.49.386,20.906,-0.226,0.069,0.772
1667849029405,2022-11-07T20.23.49.405,20.925,-0.273,-0.173,0.753
1667849029426,2022-11-07T20.23.49.426,20.946,-0.272,-0.190,0.830
1667849029446,2022-11-07T20.23.49.446,20.966,-0.473,-0.083,0.998
1667849029465,2022-11-07T20.23.49.465,20.985,-0.258,-0.280,0.976
1667849029486,2022-11-07T20.23.49.486,21.006,-0.360,-0.347,0.871
1667849029505,2022-11-07T20.23.49.505,21.025,-0.196,-0.106,1.079
1667849029525,2022-11-07T20.23.49.525,21.045,-0.061,-0.015,0.989
1667849029544,2022-11-07T20.23.49.544,21.064,-0.125,-0.249,0.927
