epoc (ms),timestamp (+0100),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1667849009870,2022-11-07T20.23.29.870,1.390,-0.094,-0.149,0.924
1667849009889,2022-11-07T20.23.29.889,1.409,-0.089,-0.156,0.948
1667849009910,2022-11-07T20.23.29.910,1.430,-0.086,-0.153,1.002
1667849009929,2022-11-07T20.23.29.929,1.449,-0.057,-0.139,1.133
1667849009949,2022-11-07T20.23.29.949,1.469,-0.063,-0.142,0.916
1667849009970,2022-11-07T20.23.29.970,1.490,-0.012,-0.143,1.007
1667849009989,2022-11-07T20.23.29.989,1.509,-0.089,-0.136,1.111
1667849010009,2022-11-07T20.23.30.009,1.529,-0.052,-0.134,0.939
1667849010028,2022-11-07T20.23.30.028,1.548,-0.062,-0.137,0.949
1667849010049,2022-11-07T20.23.30.049,1.569,-0.068,-0.120,1.035
1667849010068,2022-11-07T20.23.30.068,1.588,-0.054,-0.131,1.020
1667849010088,2022-11-07T20.23.30.088,1.608,-0.041,-0.153,0.961
1667849010107,2022-11-07T20.23.30.107,1.627,-0.041,-0.112,1.100
1667849010128,2022-11-07T20.23.30.128,1.648,-0.049,-0.122,0.992
1667849010148,2022-11-07T20.23.30.148,1.668,-0.044,-0.132,0.982
1667849010167,2022-11-07T20.23.30.167,1.687,-0.043,-0.130,1.001
1667849010188,2022-11-07T20.23.30.188,1.708,-0.042,-0.127,1.005
1667849010207,2022-11-07T20.23.30.207,1.727,-0.043,-0.127,1.005
1667849010227,2022-11-07T20.23.30.227,1.747,-0.046,-0.128,0.999
1667849010246,2022-11-07T20.23.30.246,1.766,-0.043,-0.129,0.998
1667849010267,2022-11-07T20.23.30.267,1.787,-0.043,-0.129,0.999
1667849010286,2022-11-07T20.23.30.286,1.806,-0.044,-0.129,0.998
1667849010307,2022-11-07T20.23.30.307,1.827,-0.044,-0.129,1.000
1667849010326,2022-11-07T20.23.30.326,1.846,-0.045,-0.129,1.000
1667849010346,2022-11-07T20.23.30.346,1.866,-0.045,-0.130,1.001
1667849010367,2022-11-07T20.23.30.367,1.887,-0.044,-0.130,1.001
1667849010386,2022-11-07T20.23.30.386,1.906,-0.045,-0.130,1.000
1667849010406,2022-11-07T20.23.30.406,1.926,-0.044,-0.129,0.997
1667849010425,2022-11-07T20.23.30.425,1.945,-0.045,-0.131,1.001
1667849010446,2022-11-07T20.23.30.446,1.966,-0.044,-0.131,1.000
1667849010465,2022-11-07T20.23.30.465,1.985,-0.043,-0.131,0.999
1667849010485,2022-11-07T20.23.30.485,2.005,-0.044,-0.129,1.000
1667849010504,2022-11-07T20.23.30.504,2.024,-0.045,-0.129,1.000
1667849010525,2022-11-07T20.23.30.525,2.045,-0.044,-0.129,1.000
1667849010545,2022-11-07T20.23.30.545,2.065,-0.043,-0.129,1.001
1667849010564,2022-11-07T20.23.30.564,2.084,-0.045,-0.130,1.000
1667849010585,2022-11-07T20.23.30.585,2.105,-0.044,-0.130,1.001
1667849010604,2022-11-07T20.23.30.604,2.124,-0.042,-0.130,0.999
1667849010624,2022-11-07T20.23.30.624,2.144,-0.044,-0.130,0.999
1667849010643,2022-11-07T20.23.30.643,2.163,-0.045,-0.129,1.000
1667849010664,2022-11-07T20.23.30.664,2.184,-0.043,-0.130,1.000
1667849010683,2022-11-07T20.23.30.683,2.203,-0.044,-0.130,0.999
1667849010703,2022-11-07T20.23.30.703,2.223,-0.046,-0.129,1.001
1667849010724,2022-11-07T20.23.30.724,2.244,-0.045,-0.130,1.002
1667849010743,2022-11-07T20.23.30.743,2.263,-0.044,-0.129,1.000
1667849010764,2022-11-07T20.23.30.764,2.284,-0.044,-0.130,0.999
