epoc (ms),timestamp (+0100),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1667849008480,2022-11-07T20.23.28.480,0.000,-0.244,-0.366,0.671
1667849008500,2022-11-07T20.23.28.500,0.020,-0.610,0.854,0.427
1667849008519,2022-11-07T20.23.28.519,0.039,-0.976,4.268,0.549
1667849008540,2022-11-07T20.23.28.540,0.060,-9.573,10.488,1.037
1667849008559,2022-11-07T20.23.28.559,0.079,-18.110,12.073,1.159
1667849008579,2022-11-07T20.23.28.579,0.099,-11.707,8.963,1.159
1667849008598,2022-11-07T20.23.28.598,0.118,5.549,-2.195,0.244
1667849008619,2022-11-07T20.23.28.619,0.139,-2.012,1.341,0.366
1667849008638,2022-11-07T20.23.28.638,0.158,-3.232,1.341,0.366
1667849008659,2022-11-07T20.23.28.659,0.179,9.024,-7.012,-0.305
1667849008679,2022-11-07T20.23.28.679,0.199,7.561,-7.134,-0.305
1667849008698,2022-11-07T20.23.28.698,0.218,4.634,-4.512,-0.061
1667849008719,2022-11-07T20.23.28.719,0.239,4.390,-4.146,-0.183
1667849008738,2022-11-07T20.23.28.738,0.258,5.488,-4.817,-0.427
1667849008758,2022-11-07T20.23.28.758,0.278,4.878,-3.720,-0.244
1667849008777,2022-11-07T20.23.28.777,0.297,0.610,0.305,0.244
1667849008798,2022-11-07T20.23.28.798,0.318,0.427,-0.549,0.183
1667849008817,2022-11-07T20.23.28.817,0.337,2.195,-1.280,-0.122
1667849008837,2022-11-07T20.23.28.837,0.357,-4.024,3.415,0.244
1667849008858,2022-11-07T20.23.28.858,0.378,-3.780,3.963,0.488
1667849008877,2022-11-07T20.23.28.877,0.397,-0.549,-0.305,0.061
1667849008897,2022-11-07T20.23.28.897,0.417,-0.793,1.585,0.427
1667849008916,2022-11-07T20.23.28.916,0.436,-4.207,3.720,0.427
1667849008937,2022-11-07T20.23.28.937,0.457,-7.744,7.256,0.732
1667849008956,2022-11-07T20.23.28.956,0.476,-7.073,5.915,0.732
1667849008976,2022-11-07T20.23.28.976,0.496,-2.927,3.598,0.732
1667849008995,2022-11-07T20.23.28.995,0.515,-3.902,4.024,0.793
1667849009016,2022-11-07T20.23.29.016,0.536,-4.024,3.780,0.488
1667849009036,2022-11-07T20.23.29.036,0.556,-5.854,6.159,0.427
1667849009056,2022-11-07T20.23.29.056,0.576,-15.976,12.378,0.915
1667849009076,2022-11-07T20.23.29.076,0.596,0.000,1.463,1.037
1667849009095,2022-11-07T20.23.29.095,0.615,9.451,-6.768,0.000
1667849009116,2022-11-07T20.23.29.116,0.636,-0.671,-0.244,0.061
1667849009135,2022-11-07T20.23.29.135,0.655,0.488,0.854,0.183
1667849009155,2022-11-07T20.23.29.155,0.675,-10.976,9.146,0.671
1667849009174,2022-11-07T20.23.29.174,0.694,-9.329,6.341,0.793
1667849009195,2022-11-07T20.23.29.195,0.715,12.500,-7.561,-0.244
1667849009215,2022-11-07T20.23.29.215,0.735,-3.902,1.159,0.549
1667849009234,2022-11-07T20.23.29.234,0.754,3.293,-1.890,0.305
1667849009255,2022-11-07T20.23.29.255,0.775,-1.707,0.854,0.488
1667849009274,2022-11-07T20.23.29.274,0.794,-0.122,0.488,0.427
1667849009294,2022-11-07T20.23.29.294,0.814,-1.646,1.280,0.488
1667849009313,2022-11-07T20.23.29.313,0.833,-0.549,0.671,0.488
1667849009334,2022-11-07T20.23.29.334,0.854,-0.061,0.610,0.305
1667849009353,2022-11-07T20.23.29.353,0.873,-4.024,4.878,0.549
1667849009373,2022-11-07T20.23.29.373,0.893,-19.573,15.366,1.463
1667849009394,2022-11-07T20.23.29.394,0.914,-10.122,8.415,1.037
1667849009413,2022-11-07T20.23.29.413,0.933,8.415,-4.878,0.122
1667849009433,2022-11-07T20.23.29.433,0.953,-0.122,-0.183,0.427
1667849009452,2022-11-07T20.23.29.452,0.972,-4.329,3.415,0.549
1667849009473,2022-11-07T20.23.29.473,0.993,-1.220,1.463,0.305
1667849009492,2022-11-07T20.23.29.492,1.012,0.000,0.549,0.366
1667849009513,2022-11-07T20.23.29.513,1.033,-0.854,3.110,0.122
1667849009532,2022-11-07T20.23.29.532,1.052,-19.390,15.488,0.366
1667849009552,2022-11-07T20.23.29.552,1.072,-9.329,8.963,-0.488
1667849009571,2022-11-07T20.23.29.571,1.091,-3.171,4.878,-1.098
1667849009592,2022-11-07T20.23.29.592,1.112,-2.134,4.268,-0.427
1667849009612,2022-11-07T20.23.29.612,1.132,-1.768,2.073,0.000
1667849009631,2022-11-07T20.23.29.631,1.151,4.146,-3.354,-0.305
1667849009652,2022-11-07T20.23.29.652,1.172,5.000,-3.780,-0.366
1667849009671,2022-11-07T20.23.29.671,1.191,-1.341,0.488,0.061
1667849009691,2022-11-07T20.23.29.691,1.211,2.500,-2.073,0.000
1667849009710,2022-11-07T20.23.29.710,1.230,4.695,-4.207,-0.122
1667849009731,2022-11-07T20.23.29.731,1.251,5.366,-4.573,-0.122
1667849009750,2022-11-07T20.23.29.750,1.270,2.256,-2.195,0.122
1667849009770,2022-11-07T20.23.29.770,1.290,0.976,-0.854,0.122
1667849009791,2022-11-07T20.23.29.791,1.311,1.037,-0.854,0.061
1667849009810,2022-11-07T20.23.29.810,1.330,1.768,-1.463,-0.061
1667849009830,2022-11-07T20.23.29.830,1.350,2.561,-2.439,0.000
1667849009849,2022-11-07T20.23.29.849,1.369,5.488,-5.305,0.000
1667849009870,2022-11-07T20.23.29.870,1.390,9.024,-8.415,-0.061
1667849009889,2022-11-07T20.23.29.889,1.409,14.085,-12.439,-0.488
1667849009910,2022-11-07T20.23.29.910,1.430,17.012,-14.451,-0.610
1667849009929,2022-11-07T20.23.29.929,1.449,13.659,-12.622,-0.793
1667849009949,2022-11-07T20.23.29.949,1.469,5.305,-7.134,-0.366
1667849009970,2022-11-07T20.23.29.970,1.490,8.415,-6.646,0.061
1667849009989,2022-11-07T20.23.29.989,1.509,2.561,-1.585,1.159
1667849010009,2022-11-07T20.23.30.009,1.529,-0.610,-1.098,0.915
1667849010028,2022-11-07T20.23.30.028,1.548,4.512,-2.866,0.549
1667849010049,2022-11-07T20.23.30.049,1.569,11.646,-12.744,0.183
1667849010068,2022-11-07T20.23.30.068,1.588,2.073,-9.878,0.061
1667849010088,2022-11-07T20.23.30.088,1.608,-1.951,-11.585,-0.061
1667849010107,2022-11-07T20.23.30.107,1.627,2.195,-10.366,0.732
1667849010128,2022-11-07T20.23.30.128,1.648,-0.305,1.341,0.793
1667849010148,2022-11-07T20.23.30.148,1.668,-0.427,0.000,0.427
1667849010167,2022-11-07T20.23.30.167,1.687,0.061,-1.159,0.488
1667849010188,2022-11-07T20.23.30.188,1.708,-0.061,-0.549,0.549
1667849010207,2022-11-07T20.23.30.207,1.727,-0.305,0.244,0.549
1667849010227,2022-11-07T20.23.30.227,1.747,-0.549,1.159,0.488
1667849010246,2022-11-07T20.23.30.246,1.766,-0.488,1.402,0.427
1667849010267,2022-11-07T20.23.30.267,1.787,-0.549,1.159,0.427
1667849010286,2022-11-07T20.23.30.286,1.806,-0.427,0.610,0.427
1667849010307,2022-11-07T20.23.30.307,1.827,-0.305,0.244,0.366
1667849010327,2022-11-07T20.23.30.327,1.847,-0.305,0.122,0.305
1667849010346,2022-11-07T20.23.30.346,1.866,-0.183,0.183,0.366
1667849010367,2022-11-07T20.23.30.367,1.887,-0.305,0.427,0.427
1667849010386,2022-11-07T20.23.30.386,1.906,-0.366,0.671,0.488
1667849010406,2022-11-07T20.23.30.406,1.926,-0.305,0.244,0.366
1667849010425,2022-11-07T20.23.30.425,1.945,-0.244,0.183,0.244
1667849010446,2022-11-07T20.23.30.446,1.966,-0.366,0.366,0.366
1667849010465,2022-11-07T20.23.30.465,1.985,-0.244,0.305,0.366
1667849010485,2022-11-07T20.23.30.485,2.005,-0.244,0.305,0.366
1667849010504,2022-11-07T20.23.30.504,2.024,-0.305,0.305,0.366
1667849010525,2022-11-07T20.23.30.525,2.045,-0.244,0.366,0.366
1667849010545,2022-11-07T20.23.30.545,2.065,-0.305,0.244,0.305
1667849010564,2022-11-07T20.23.30.564,2.084,-0.366,0.244,0.366
1667849010585,2022-11-07T20.23.30.585,2.105,-0.305,0.183,0.366
1667849010604,2022-11-07T20.23.30.604,2.124,-0.305,0.244,0.366
1667849010624,2022-11-07T20.23.30.624,2.144,-0.244,0.305,0.366
1667849010643,2022-11-07T20.23.30.643,2.163,-0.305,0.305,0.366
1667849010664,2022-11-07T20.23.30.664,2.184,-0.244,0.305,0.366
1667849010683,2022-11-07T20.23.30.683,2.203,-0.244,0.305,0.427
1667849010703,2022-11-07T20.23.30.703,2.223,-0.366,0.122,0.366
1667849010724,2022-11-07T20.23.30.724,2.244,-0.366,0.244,0.366
1667849010743,2022-11-07T20.23.30.743,2.263,-0.305,0.427,0.427
1667849010764,2022-11-07T20.23.30.764,2.284,-0.244,0.305,0.427
1667849010783,2022-11-07T20.23.30.783,2.303,-0.183,0.305,0.366
1667849010803,2022-11-07T20.23.30.803,2.323,-0.244,0.244,0.305
1667849010822,2022-11-07T20.23.30.822,2.342,-0.366,0.244,0.305
1667849010843,2022-11-07T20.23.30.843,2.363,-0.366,0.244,0.366
1667849010862,2022-11-07T20.23.30.862,2.382,-0.244,0.305,0.305
1667849010882,2022-11-07T20.23.30.882,2.402,-0.244,0.305,0.366
1667849010903,2022-11-07T20.23.30.903,2.423,-0.366,0.244,0.366
1667849010922,2022-11-07T20.23.30.922,2.442,-0.305,0.305,0.305
1667849010942,2022-11-07T20.23.30.942,2.462,-0.244,0.244,0.366
1667849010961,2022-11-07T20.23.30.961,2.481,-0.305,0.305,0.366
1667849010982,2022-11-07T20.23.30.982,2.502,-0.244,0.244,0.366
1667849011001,2022-11-07T20.23.31.001,2.521,-0.244,0.244,0.427
1667849011021,2022-11-07T20.23.31.021,2.541,-0.305,0.305,0.427
1667849011040,2022-11-07T20.23.31.040,2.560,-0.305,0.305,0.366
1667849011061,2022-11-07T20.23.31.061,2.581,-0.305,0.244,0.305
1667849011081,2022-11-07T20.23.31.081,2.601,-0.244,0.000,0.427
1667849011100,2022-11-07T20.23.31.100,2.620,-0.305,0.244,0.488
1667849011121,2022-11-07T20.23.31.121,2.641,-0.427,0.183,0.366
1667849011140,2022-11-07T20.23.31.140,2.660,-0.671,0.061,0.549
1667849011161,2022-11-07T20.23.31.161,2.681,-0.549,0.366,0.488
1667849011180,2022-11-07T20.23.31.180,2.700,-0.610,0.488,0.610
1667849011200,2022-11-07T20.23.31.200,2.720,-0.793,0.183,0.610
1667849011219,2022-11-07T20.23.31.219,2.739,-0.427,0.122,0.305
1667849011240,2022-11-07T20.23.31.240,2.760,-0.244,0.610,0.305
1667849011260,2022-11-07T20.23.31.260,2.780,-0.122,0.610,0.305
1667849011279,2022-11-07T20.23.31.279,2.799,-0.061,0.488,0.244
1667849011300,2022-11-07T20.23.31.300,2.820,-0.122,0.549,0.305
1667849011319,2022-11-07T20.23.31.319,2.839,-0.122,0.488,0.366
1667849011339,2022-11-07T20.23.31.339,2.859,-0.122,0.366,0.366
1667849011358,2022-11-07T20.23.31.358,2.878,-0.122,0.244,0.305
1667849011379,2022-11-07T20.23.31.379,2.899,-0.244,0.244,0.305
1667849011398,2022-11-07T20.23.31.398,2.918,-0.244,0.366,0.366
1667849011418,2022-11-07T20.23.31.418,2.938,-0.244,0.244,0.366
1667849011437,2022-11-07T20.23.31.437,2.957,-0.305,0.305,0.427
1667849011458,2022-11-07T20.23.31.458,2.978,-0.305,0.244,0.366
1667849011478,2022-11-07T20.23.31.478,2.998,-0.183,0.427,0.366
1667849011497,2022-11-07T20.23.31.497,3.017,-0.122,0.488,0.366
1667849011518,2022-11-07T20.23.31.518,3.038,-0.183,0.427,0.427
1667849011537,2022-11-07T20.23.31.537,3.057,-0.183,0.366,0.427
1667849011557,2022-11-07T20.23.31.557,3.077,-0.122,0.488,0.366
1667849011577,2022-11-07T20.23.31.577,3.097,-0.183,0.549,0.427
1667849011597,2022-11-07T20.23.31.597,3.117,-0.244,0.549,0.366
1667849011616,2022-11-07T20.23.31.616,3.136,-0.244,0.427,0.366
1667849011637,2022-11-07T20.23.31.637,3.157,-0.305,0.427,0.488
1667849011657,2022-11-07T20.23.31.657,3.177,-0.183,0.488,0.427
1667849011676,2022-11-07T20.23.31.676,3.196,-0.122,0.610,0.366
1667849011697,2022-11-07T20.23.31.697,3.217,-0.183,0.488,0.366
1667849011716,2022-11-07T20.23.31.716,3.236,-0.366,0.244,0.366
1667849011736,2022-11-07T20.23.31.736,3.256,-0.366,0.244,0.366
1667849011755,2022-11-07T20.23.31.755,3.275,-0.366,0.427,0.427
1667849011776,2022-11-07T20.23.31.776,3.296,-0.122,0.488,0.366
1667849011795,2022-11-07T20.23.31.795,3.315,-0.061,0.305,0.305
1667849011815,2022-11-07T20.23.31.815,3.335,-0.122,0.183,0.427
1667849011836,2022-11-07T20.23.31.836,3.356,-0.305,0.183,0.427
1667849011855,2022-11-07T20.23.31.855,3.375,-0.244,0.244,0.427
1667849011875,2022-11-07T20.23.31.875,3.395,-0.183,0.122,0.366
1667849011894,2022-11-07T20.23.31.894,3.414,-0.183,0.061,0.366
1667849011915,2022-11-07T20.23.31.915,3.435,-0.183,0.244,0.366
1667849011934,2022-11-07T20.23.31.934,3.454,-0.183,0.549,0.488
1667849011954,2022-11-07T20.23.31.954,3.474,-0.061,0.488,0.549
1667849011973,2022-11-07T20.23.31.973,3.493,-0.122,0.366,0.488
1667849011994,2022-11-07T20.23.31.994,3.514,-0.366,0.793,0.610
1667849012015,2022-11-07T20.23.32.015,3.535,-0.061,1.098,0.549
1667849012034,2022-11-07T20.23.32.034,3.554,0.183,1.280,0.488
1667849012054,2022-11-07T20.23.32.054,3.574,-0.183,0.244,0.366
1667849012073,2022-11-07T20.23.32.073,3.593,-0.427,-0.061,0.244
1667849012094,2022-11-07T20.23.32.094,3.614,-0.244,0.000,0.305
1667849012113,2022-11-07T20.23.32.113,3.633,-0.305,0.366,0.427
1667849012133,2022-11-07T20.23.32.133,3.653,-0.122,0.671,0.427
1667849012152,2022-11-07T20.23.32.152,3.672,0.061,1.159,0.488
1667849012173,2022-11-07T20.23.32.173,3.693,0.244,0.732,0.427
1667849012193,2022-11-07T20.23.32.193,3.713,0.122,1.037,0.427
1667849012212,2022-11-07T20.23.32.212,3.732,0.244,1.037,0.549
1667849012233,2022-11-07T20.23.32.233,3.753,0.122,2.805,0.915
1667849012252,2022-11-07T20.23.32.252,3.772,0.915,1.280,0.671
1667849012272,2022-11-07T20.23.32.272,3.792,-0.122,0.549,0.427
1667849012291,2022-11-07T20.23.32.291,3.811,-0.793,-0.244,0.305
1667849012312,2022-11-07T20.23.32.312,3.832,0.244,0.366,0.366
1667849012331,2022-11-07T20.23.32.331,3.851,0.610,2.561,0.549
1667849012351,2022-11-07T20.23.32.351,3.871,-1.280,1.341,0.427
1667849012372,2022-11-07T20.23.32.372,3.892,0.671,-2.805,0.000
1667849012391,2022-11-07T20.23.32.391,3.911,-1.159,-0.793,0.183
1667849012411,2022-11-07T20.23.32.411,3.931,-0.793,-0.122,0.488
1667849012431,2022-11-07T20.23.32.431,3.951,0.000,0.854,0.610
1667849012451,2022-11-07T20.23.32.451,3.971,-0.366,0.305,0.366
1667849012470,2022-11-07T20.23.32.470,3.990,-0.671,-0.183,0.305
1667849012491,2022-11-07T20.23.32.491,4.011,-0.488,-0.061,0.305
1667849012510,2022-11-07T20.23.32.510,4.030,-0.061,0.183,0.488
1667849012530,2022-11-07T20.23.32.530,4.050,1.098,0.915,0.671
1667849012551,2022-11-07T20.23.32.551,4.071,0.366,1.280,0.671
1667849012570,2022-11-07T20.23.32.570,4.090,-0.244,-0.122,0.244
1667849012590,2022-11-07T20.23.32.590,4.110,0.183,-0.244,0.366
1667849012609,2022-11-07T20.23.32.609,4.129,0.427,-0.366,0.610
1667849012630,2022-11-07T20.23.32.630,4.150,-0.061,-0.549,0.488
1667849012649,2022-11-07T20.23.32.649,4.169,-0.488,-0.976,0.488
1667849012669,2022-11-07T20.23.32.669,4.189,-0.671,-0.793,1.341
1667849012688,2022-11-07T20.23.32.688,4.208,-1.951,-2.622,17.622
1667849012709,2022-11-07T20.23.32.709,4.229,0.610,-7.134,9.085
1667849012728,2022-11-07T20.23.32.728,4.248,2.378,-2.866,-2.500
1667849012748,2022-11-07T20.23.32.748,4.268,2.012,-2.866,-0.671
1667849012769,2022-11-07T20.23.32.769,4.289,-0.366,-2.012,5.000
1667849012788,2022-11-07T20.23.32.788,4.308,-1.890,-0.549,3.780
1667849012808,2022-11-07T20.23.32.808,4.328,-1.098,-0.244,-0.732
1667849012827,2022-11-07T20.23.32.827,4.347,-0.854,0.122,-1.646
1667849012848,2022-11-07T20.23.32.848,4.368,-1.098,-0.061,-1.707
1667849012867,2022-11-07T20.23.32.867,4.387,-0.305,0.366,-0.671
1667849012888,2022-11-07T20.23.32.888,4.408,-0.061,0.427,0.366
1667849012907,2022-11-07T20.23.32.907,4.427,0.061,0.610,0.305
1667849012927,2022-11-07T20.23.32.927,4.447,-0.183,0.427,0.427
1667849012948,2022-11-07T20.23.32.948,4.468,0.183,0.671,0.976
1667849012967,2022-11-07T20.23.32.967,4.487,0.183,0.610,1.159
1667849012987,2022-11-07T20.23.32.987,4.507,0.061,0.488,1.463
1667849013006,2022-11-07T20.23.33.006,4.526,0.000,0.488,1.585
1667849013027,2022-11-07T20.23.33.027,4.547,-0.183,0.427,1.159
1667849013046,2022-11-07T20.23.33.046,4.566,-0.122,0.488,0.915
1667849013066,2022-11-07T20.23.33.066,4.586,-0.183,0.488,0.610
1667849013085,2022-11-07T20.23.33.085,4.605,-0.427,0.610,0.183
1667849013106,2022-11-07T20.23.33.106,4.626,-0.549,1.159,-1.768
1667849013126,2022-11-07T20.23.33.126,4.646,-0.305,0.854,-0.610
1667849013145,2022-11-07T20.23.33.145,4.665,-0.244,0.427,0.671
1667849013166,2022-11-07T20.23.33.166,4.686,-0.427,0.732,-0.610
1667849013185,2022-11-07T20.23.33.185,4.705,-0.305,0.488,-0.122
1667849013205,2022-11-07T20.23.33.205,4.725,-0.427,0.366,0.549
1667849013224,2022-11-07T20.23.33.224,4.744,-0.610,0.732,-0.671
1667849013245,2022-11-07T20.23.33.245,4.765,-0.366,0.732,-0.915
1667849013264,2022-11-07T20.23.33.264,4.784,0.000,0.305,0.488
1667849013285,2022-11-07T20.23.33.285,4.805,0.000,0.427,0.488
1667849013305,2022-11-07T20.23.33.305,4.825,-0.183,0.793,0.427
1667849013324,2022-11-07T20.23.33.324,4.844,-0.610,0.976,0.305
1667849013345,2022-11-07T20.23.33.345,4.865,-0.366,0.488,0.427
1667849013364,2022-11-07T20.23.33.364,4.884,-0.244,0.305,0.366
1667849013384,2022-11-07T20.23.33.384,4.904,-0.122,0.366,0.427
1667849013403,2022-11-07T20.23.33.403,4.923,-0.305,0.427,0.488
1667849013424,2022-11-07T20.23.33.424,4.944,-0.244,0.549,0.305
1667849013443,2022-11-07T20.23.33.443,4.963,-0.183,0.305,0.305
1667849013463,2022-11-07T20.23.33.463,4.983,-0.244,0.427,0.366
1667849013484,2022-11-07T20.23.33.484,5.004,-1.220,1.951,0.488
1667849013503,2022-11-07T20.23.33.503,5.023,-0.305,1.524,0.671
1667849013523,2022-11-07T20.23.33.523,5.043,0.244,0.122,0.366
1667849013542,2022-11-07T20.23.33.542,5.062,-0.122,0.305,0.305
1667849013563,2022-11-07T20.23.33.563,5.083,-0.061,0.366,0.366
1667849013582,2022-11-07T20.23.33.582,5.102,0.244,0.305,0.427
1667849013602,2022-11-07T20.23.33.602,5.122,0.244,0.244,0.427
1667849013621,2022-11-07T20.23.33.621,5.141,0.183,0.305,0.305
1667849013642,2022-11-07T20.23.33.642,5.162,0.122,0.305,0.305
1667849013662,2022-11-07T20.23.33.662,5.182,0.366,0.244,0.244
1667849013682,2022-11-07T20.23.33.682,5.202,1.037,0.061,-0.061
1667849013702,2022-11-07T20.23.33.702,5.222,2.012,-0.061,-0.366
1667849013721,2022-11-07T20.23.33.721,5.241,3.171,-0.122,-0.793
1667849013742,2022-11-07T20.23.33.742,5.262,-1.585,5.671,0.671
1667849013761,2022-11-07T20.23.33.761,5.281,-10.061,16.951,2.866
1667849013781,2022-11-07T20.23.33.781,5.301,-2.012,4.146,0.793
1667849013800,2022-11-07T20.23.33.800,5.320,-0.244,0.000,0.366
1667849013821,2022-11-07T20.23.33.821,5.341,-0.732,0.976,0.427
1667849013840,2022-11-07T20.23.33.840,5.360,0.427,0.305,0.244
1667849013860,2022-11-07T20.23.33.860,5.380,0.549,0.366,0.122
1667849013881,2022-11-07T20.23.33.881,5.401,0.549,0.427,0.122
1667849013900,2022-11-07T20.23.33.900,5.420,0.854,0.366,0.061
1667849013920,2022-11-07T20.23.33.920,5.440,4.512,0.305,-0.549
1667849013939,2022-11-07T20.23.33.939,5.459,0.732,16.402,2.012
1667849013960,2022-11-07T20.23.33.960,5.480,-86.524,81.951,41.646
1667849013979,2022-11-07T20.23.33.979,5.499,-8.049,4.878,-12.317
1667849013999,2022-11-07T20.23.33.999,5.519,34.146,-14.756,-8.720
1667849014018,2022-11-07T20.23.34.018,5.538,-0.061,3.537,3.841
1667849014039,2022-11-07T20.23.34.039,5.559,-3.841,1.890,0.915
1667849014059,2022-11-07T20.23.34.059,5.579,9.329,-1.159,0.915
1667849014078,2022-11-07T20.23.34.078,5.598,28.293,5.976,1.890
1667849014099,2022-11-07T20.23.34.099,5.619,24.878,-8.232,0.976
1667849014118,2022-11-07T20.23.34.118,5.638,20.488,-11.951,-0.549
1667849014139,2022-11-07T20.23.34.139,5.659,-11.341,13.171,0.183
1667849014158,2022-11-07T20.23.34.158,5.678,-74.695,51.768,1.829
1667849014178,2022-11-07T20.23.34.178,5.698,-34.329,26.890,3.049
1667849014197,2022-11-07T20.23.34.197,5.717,-7.622,13.659,3.110
1667849014218,2022-11-07T20.23.34.218,5.738,-16.585,23.293,-0.488
1667849014238,2022-11-07T20.23.34.238,5.758,-11.951,11.159,0.793
1667849014257,2022-11-07T20.23.34.257,5.777,-9.756,8.232,1.768
1667849014278,2022-11-07T20.23.34.278,5.798,-11.463,17.744,1.585
1667849014297,2022-11-07T20.23.34.297,5.817,-38.232,42.012,2.317
1667849014317,2022-11-07T20.23.34.317,5.837,-28.415,31.707,0.122
1667849014336,2022-11-07T20.23.34.336,5.856,-29.634,36.402,1.951
1667849014357,2022-11-07T20.23.34.357,5.877,-27.378,34.146,5.976
1667849014376,2022-11-07T20.23.34.376,5.896,-19.024,23.049,7.195
1667849014396,2022-11-07T20.23.34.396,5.916,23.720,21.707,38.232
1667849014417,2022-11-07T20.23.34.417,5.937,61.646,11.646,80.610
1667849014436,2022-11-07T20.23.34.436,5.956,-34.695,35.305,13.049
1667849014456,2022-11-07T20.23.34.456,5.976,-17.927,25.183,15.122
1667849014475,2022-11-07T20.23.34.475,5.995,5.854,17.256,28.841
1667849014496,2022-11-07T20.23.34.496,6.016,30.610,8.049,15.305
1667849014515,2022-11-07T20.23.34.515,6.035,30.427,4.695,9.329
1667849014536,2022-11-07T20.23.34.536,6.056,23.537,3.537,1.037
1667849014555,2022-11-07T20.23.34.555,6.075,9.695,8.780,-6.037
1667849014575,2022-11-07T20.23.34.575,6.095,25.000,1.646,-9.390
1667849014596,2022-11-07T20.23.34.596,6.116,29.756,-1.280,-9.756
1667849014615,2022-11-07T20.23.34.615,6.135,7.988,10.854,-4.573
1667849014635,2022-11-07T20.23.34.635,6.155,-7.317,22.500,-2.988
1667849014654,2022-11-07T20.23.34.654,6.174,-3.598,24.939,-3.537
1667849014675,2022-11-07T20.23.34.675,6.195,0.183,25.244,-9.573
1667849014694,2022-11-07T20.23.34.694,6.214,-13.049,22.256,-10.671
1667849014714,2022-11-07T20.23.34.714,6.234,-0.122,-19.878,-4.329
1667849014733,2022-11-07T20.23.34.733,6.253,41.646,-128.415,-11.524
1667849014754,2022-11-07T20.23.34.754,6.274,31.220,-104.390,-14.451
1667849014773,2022-11-07T20.23.34.773,6.293,22.439,-15.793,-14.451
1667849014793,2022-11-07T20.23.34.793,6.313,20.732,21.646,-23.963
1667849014814,2022-11-07T20.23.34.814,6.334,4.207,5.671,-14.451
1667849014833,2022-11-07T20.23.34.833,6.353,-5.000,-14.024,9.085
1667849014853,2022-11-07T20.23.34.853,6.373,-13.537,-5.305,7.195
1667849014872,2022-11-07T20.23.34.872,6.392,-21.646,7.439,0.183
1667849014893,2022-11-07T20.23.34.893,6.413,-3.720,0.793,12.134
1667849014912,2022-11-07T20.23.34.912,6.432,-5.183,-2.195,17.317
1667849014932,2022-11-07T20.23.34.932,6.452,-20.793,-6.951,8.537
1667849014952,2022-11-07T20.23.34.952,6.472,-7.500,-24.939,1.524
1667849014972,2022-11-07T20.23.34.972,6.492,13.537,-28.049,1.646
1667849014993,2022-11-07T20.23.34.993,6.513,15.366,-5.244,-6.646
1667849015012,2022-11-07T20.23.35.012,6.532,-3.293,9.512,-15.915
1667849015032,2022-11-07T20.23.35.032,6.552,-5.732,-7.256,-8.110
1667849015051,2022-11-07T20.23.35.051,6.571,-3.902,-18.171,4.085
1667849015072,2022-11-07T20.23.35.072,6.592,-0.427,-5.244,0.488
1667849015091,2022-11-07T20.23.35.091,6.611,-12.805,10.427,-7.622
1667849015111,2022-11-07T20.23.35.111,6.631,-6.585,-4.939,-0.305
1667849015130,2022-11-07T20.23.35.130,6.650,3.232,-21.890,6.890
1667849015151,2022-11-07T20.23.35.151,6.671,-16.951,22.195,-1.768
1667849015171,2022-11-07T20.23.35.171,6.691,-52.317,115.122,-20.610
1667849015190,2022-11-07T20.23.35.190,6.710,-3.232,21.280,-45.305
1667849015211,2022-11-07T20.23.35.211,6.731,13.537,-103.232,-42.927
1667849015230,2022-11-07T20.23.35.230,6.750,13.963,-55.549,-7.073
1667849015250,2022-11-07T20.23.35.250,6.770,-2.866,6.280,-13.110
1667849015269,2022-11-07T20.23.35.269,6.789,-20.000,7.500,-40.427
1667849015290,2022-11-07T20.23.35.290,6.810,-3.841,8.232,-9.329
1667849015309,2022-11-07T20.23.35.309,6.829,1.646,58.963,21.890
1667849015329,2022-11-07T20.23.35.329,6.849,12.561,134.085,34.024
1667849015348,2022-11-07T20.23.35.348,6.868,86.402,157.012,44.024
1667849015369,2022-11-07T20.23.35.369,6.889,78.171,160.305,35.915
1667849015390,2022-11-07T20.23.35.390,6.910,30.793,122.317,21.341
1667849015409,2022-11-07T20.23.35.409,6.929,2.988,36.951,-13.354
1667849015429,2022-11-07T20.23.35.429,6.949,-30.549,-60.549,-15.305
1667849015448,2022-11-07T20.23.35.448,6.968,-68.780,-134.268,6.159
1667849015469,2022-11-07T20.23.35.469,6.989,-75.549,-151.768,4.207
1667849015488,2022-11-07T20.23.35.488,7.008,-37.866,-120.793,-2.988
1667849015508,2022-11-07T20.23.35.508,7.028,-5.854,-51.829,-2.500
1667849015527,2022-11-07T20.23.35.527,7.047,13.415,27.805,22.317
1667849015548,2022-11-07T20.23.35.548,7.068,33.415,64.634,35.427
1667849015568,2022-11-07T20.23.35.568,7.088,36.646,45.488,30.610
1667849015587,2022-11-07T20.23.35.587,7.107,4.085,9.024,17.195
1667849015608,2022-11-07T20.23.35.608,7.128,-33.171,-26.220,-0.183
1667849015627,2022-11-07T20.23.35.627,7.147,-21.707,-59.390,3.537
1667849015647,2022-11-07T20.23.35.647,7.167,-1.585,-58.354,1.524
1667849015666,2022-11-07T20.23.35.666,7.186,4.024,-29.329,2.378
1667849015687,2022-11-07T20.23.35.687,7.207,16.402,-11.585,7.378
1667849015706,2022-11-07T20.23.35.706,7.226,21.707,-3.841,-6.159
