"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.868114650E-1,-1.104444385E0,-2.076941915E-2,1.712866187E0
1.888255930E-1,-1.042747021E0,2.180788964E-1,1.678046823E0
1.908397210E-1,-1.009760261E0,3.402519524E-1,1.658499122E0
1.928233320E-1,-9.486737251E-1,5.925393105E-1,1.626734138E0
1.948069430E-1,-8.943067193E-1,8.484918475E-1,1.599856019E0
1.968210710E-1,-8.704829812E-1,9.737191796E-1,1.585195303E0
1.988046810E-1,-8.356636763E-1,1.221730471E0,1.562593341E0
2.008188100E-1,-8.057312369E-1,1.461800575E0,1.539991260E0
2.028329370E-1,-7.941248417E-1,1.582751870E0,1.527163148E0
2.048165480E-1,-7.855727077E-1,1.822211027E0,1.494787216E0
2.068306760E-1,-7.843509912E-1,2.065946341E0,1.459357023E0
2.088142870E-1,-7.861835957E-1,2.189341068E0,1.440420270E0
2.108284140E-1,-7.959573865E-1,2.433076382E0,1.402546644E0
2.128120260E-1,-8.087855577E-1,2.681698322E0,1.366505504E0
2.148261540E-1,-8.191702962E-1,2.804482222E0,1.345125318E0
2.168097650E-1,-8.374962807E-1,3.049439192E0,1.298088670E0
2.188238930E-1,-8.533787727E-1,3.282178879E0,1.243110776E0
2.208380200E-1,-8.723155856E-1,3.516140461E0,1.186911225E0
2.228216310E-1,-8.863654733E-1,3.630983114E0,1.158200502E0
2.248052420E-1,-9.089674950E-1,3.860668421E0,1.099557400E0
2.268193700E-1,-9.419541955E-1,4.041484356E0,1.047023058E0
2.288029810E-1,-9.859365225E-1,4.046371460E0,1.028697014E0
2.308476250E-1,-1.034805775E0,4.133725166E0,9.773843884E-1
2.328007190E-1,-1.034805775E0,4.234518051E0,9.266825914E-1
2.348148480E-1,-1.026253581E0,4.298658848E0,8.985827565E-1
2.367984580E-1,-1.006705880E0,4.445877075E0,8.429940343E-1
2.388125860E-1,-9.932668805E-1,4.571715355E0,7.984008789E-1
2.407961970E-1,-9.834930301E-1,4.634023666E0,7.751879692E-1
2.428103250E-1,-9.651671052E-1,4.756807804E0,7.434229851E-1
2.447939360E-1,-9.450085163E-1,4.882035255E0,7.318165898E-1
2.468080640E-1,-9.370672703E-1,4.944954395E0,7.330383062E-1
2.487916740E-1,-9.248499870E-1,5.059185982E0,7.507534027E-1
2.508363190E-1,-9.089674950E-1,5.178304672E0,7.849618196E-1
2.527894130E-1,-9.022479653E-1,5.234504223E0,8.051204085E-1
2.548035410E-1,-8.894197941E-1,5.339572906E0,8.582656980E-1
2.568176680E-1,-8.717046976E-1,5.418374538E0,9.181304574E-1
2.588012800E-1,-8.570439219E-1,5.464800358E0,9.828822017E-1
2.608154070E-1,-8.491026759E-1,5.482515812E0,1.018923283E0
2.627990190E-1,-8.332201838E-1,5.510615349E0,1.093448758E0
2.648131460E-1,-8.240572214E-1,5.524054527E0,1.172861218E0
2.667967580E-1,-8.252789378E-1,5.531995773E0,1.212567568E0
2.688108850E-1,-8.319984674E-1,5.547878265E0,1.298699498E0
2.708250130E-1,-8.533787727E-1,5.560095310E0,1.387274981E0
2.728086240E-1,-8.668177724E-1,5.569258213E0,1.433700681E0
2.747922350E-1,-9.059131742E-1,5.582086563E0,1.528384805E0
2.768063630E-1,-9.492846131E-1,5.583919048E0,1.623679876E0
2.787899740E-1,-9.712757468E-1,5.572312832E0,1.670105577E0
2.808041020E-1,-1.004873276E0,5.516113281E0,1.764789701E0
2.827877120E-1,-1.023199320E0,5.401881218E0,1.861917257E0
2.848018410E-1,-1.028086185E0,5.325523376E0,1.903456092E0
2.867854510E-1,-1.022588372E0,5.151426792E0,1.945605755E0
2.887995790E-1,-9.896016717E-1,4.900971889E0,1.960877419E0
2.908137070E-1,-9.211847782E-1,4.575991631E0,1.934610248E0
2.927973180E-1,-8.765916228E-1,4.391510010E0,1.904677868E0
2.947809290E-1,-7.599163651E-1,3.992004395E0,1.809382915E0
2.967950570E-1,-6.249151230E-1,3.578448534E0,1.688431501E0
2.987786670E-1,-5.583308339E-1,3.373197794E0,1.626123309E0
3.007927960E-1,-4.331034720E-1,2.995683193E0,1.520443559E0
3.027764060E-1,-3.341432810E-1,2.687807083E0,1.463633180E0
3.047905340E-1,-2.981022298E-1,2.558914423E0,1.437365890E0
3.067741450E-1,-2.449569702E-1,2.341446400E0,1.399492264E0
3.087882730E-1,-2.168571651E-1,2.157576084E0,1.368338108E0
3.108024000E-1,-2.083050460E-1,2.072054863E0,1.350623012E0
3.127860120E-1,-2.040289938E-1,1.915062547E0,1.315803766E0
3.147696220E-1,-2.089159191E-1,1.736689925E0,1.294423461E0
3.167837500E-1,-2.180788964E-1,1.648725271E0,1.285260439E0
3.187673610E-1,-2.474004179E-1,1.489289522E0,1.269377947E0
3.207814890E-1,-2.858849466E-1,1.347568750E0,1.251662850E0
3.227651000E-1,-3.072652221E-1,1.284649611E0,1.243721604E0
3.247792280E-1,-3.549126983E-1,1.165530920E0,1.222341299E0
3.267628390E-1,-4.129449129E-1,1.055575132E0,1.197295904E0
3.287769670E-1,-4.758640230E-1,9.376781583E-1,1.167974353E0
3.307910940E-1,-5.076290369E-1,8.747590184E-1,1.152091861E0
3.327747050E-1,-5.821545720E-1,7.391469479E-1,1.114218235E0
3.347583160E-1,-6.554583907E-1,5.925393105E-1,1.069014192E0
3.367724440E-1,-6.927211881E-1,5.119050741E-1,1.044579625E0
3.387560550E-1,-7.696902156E-1,3.353650272E-1,9.902125597E-1
3.407701830E-1,-8.393288255E-1,1.386664063E-1,9.327912331E-1
3.427537930E-1,-8.772025108E-1,3.176499158E-2,9.040805697E-1
3.447679220E-1,-9.450085163E-1,-1.985312104E-1,8.454375267E-1
3.467515320E-1,-1.013425469E0,-4.416555762E-1,7.880161405E-1
3.487656600E-1,-1.048855662E0,-5.687155724E-1,7.568620443E-1
3.507797890E-1,-1.124602914E0,-8.252789378E-1,7.031059265E-1
3.527633990E-1,-1.207069755E0,-1.082453251E0,6.505714655E-1
3.547470100E-1,-1.252884626E0,-1.210124016E0,6.249151230E-1
3.567611380E-1,-1.354288220E0,-1.464244008E0,5.827654600E-1
3.587447480E-1,-1.464244008E0,-1.706757545E0,5.467243791E-1
3.607588770E-1,-1.525330544E0,-1.824043632E0,5.296201706E-1
3.627424870E-1,-1.656055689E0,-2.029905319E0,5.076290369E-1
3.647566150E-1,-1.797165513E0,-2.203390837E0,4.972442985E-1
3.667402260E-1,-1.951103568E0,-2.344500780E0,4.978551865E-1
3.687543540E-1,-2.031737804E0,-2.398257017E0,5.015203953E-1
3.707684820E-1,-2.203390837E0,-2.488665104E0,5.125159621E-1
3.727520930E-1,-2.387261391E0,-2.538755894E0,5.265658498E-1
3.747357030E-1,-2.480723858E0,-2.557081938E0,5.326744914E-1
3.767498320E-1,-2.660318136E0,-2.598009825E0,5.448917747E-1
3.787334420E-1,-2.833803892E0,-2.662761688E0,5.632177591E-1
3.807780870E-1,-2.915048838E0,-2.711630821E0,5.754350424E-1
3.827311810E-1,-3.067765236E0,-2.825251818E0,6.096435189E-1
3.847453090E-1,-3.210707664E0,-2.933374882E0,6.579018831E-1
3.867289200E-1,-3.278513670E0,-2.974913836E0,6.853908300E-1
3.887735640E-1,-3.395799875E0,-3.005456924E0,7.489207983E-1
3.907571760E-1,-3.480710268E0,-2.925433636E0,8.038986921E-1
3.927407860E-1,-3.518583775E0,-2.835636377E0,8.277224302E-1
3.947243970E-1,-3.547294378E0,-2.584570885E0,8.637634516E-1
3.967385250E-1,-3.516140461E0,-2.246151447E0,8.802568316E-1
3.987526530E-1,-3.419012785E0,-1.819156647E0,8.698720932E-1
4.007362640E-1,-3.348763227E0,-1.579697490E0,8.576548100E-1
4.027503920E-1,-3.178942680E0,-1.065348983E0,8.155050874E-1
4.047340030E-1,-2.979800701E0,-5.497786999E-1,7.678576112E-1
4.067481310E-1,-2.873510122E0,-3.072652221E-1,7.397578359E-1
4.087317410E-1,-2.663983345E0,1.209513173E-1,6.896668673E-1
4.107458700E-1,-2.456900120E0,4.514294267E-1,6.505714655E-1
4.127294800E-1,-2.357939959E0,5.784893632E-1,6.334672570E-1
4.147436080E-1,-2.169793367E0,7.544185519E-1,6.004805565E-1
4.167272190E-1,-2.007914066E0,8.472700715E-1,5.772676468E-1
4.187413470E-1,-1.937053680E0,8.936958313E-1,5.705481172E-1
4.207554750E-1,-1.828930497E0,9.590584636E-1,5.607742667E-1
4.227390860E-1,-1.729970336E0,9.663888216E-1,5.577199459E-1
4.247226960E-1,-1.683544636E0,9.639453292E-1,5.571091175E-1
4.267368240E-1,-1.583362699E0,9.541715384E-1,5.571091175E-1
4.287204350E-1,-1.489289522E0,9.077457786E-1,5.497786999E-1
4.307345630E-1,-1.442252874E0,8.710938692E-1,5.436700583E-1
4.327181740E-1,-1.341460109E0,7.666358948E-1,5.192354321E-1
4.347323020E-1,-1.237002134E0,6.267477274E-1,4.941899776E-1
