"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.835345200E-2,-2.662015200E0,5.225924492E0,9.570094109E0
2.066814000E-2,-2.576471806E0,5.195415974E0,1.008814049E1
2.298287900E-2,-2.423331022E0,5.160121918E0,1.050508976E1
2.529756700E-2,-2.192423820E0,5.126024246E0,1.084128094E1
2.761230600E-2,-1.957328916E0,5.078167915E0,1.108534908E1
2.992699400E-2,-1.755135417E0,5.030311584E0,1.125763226E1
3.224173300E-2,-1.596012712E0,4.986642361E0,1.142034435E1
3.455642100E-2,-1.490130305E0,4.957928658E0,1.152562809E1
3.687116000E-2,-1.465603828E0,4.895116806E0,1.158245754E1
3.918584800E-2,-1.494915962E0,4.864608288E0,1.168774223E1
4.150058800E-2,-1.561915040E0,4.844867706E0,1.172602749E1
4.381527500E-2,-1.677966833E0,4.824528694E0,1.173559856E1
4.613001500E-2,-1.826920033E0,4.823930264E0,1.171167088E1
4.844470200E-2,-1.947159410E0,4.857429981E0,1.160698414E1
5.075944200E-2,-2.053041935E0,4.901697159E0,1.145384407E1
5.307412900E-2,-2.100898266E0,4.969892502E0,1.125284672E1
5.538886900E-2,-2.110469580E0,5.024329185E0,1.100818062E1
5.770355600E-2,-2.120040894E0,5.083551884E0,1.074437141E1
6.001829600E-2,-2.086541414E0,5.182255745E0,1.042851925E1
6.233298300E-2,-2.023729801E0,5.261219025E0,1.008873844E1
6.464772300E-2,-1.917249203E0,5.341378212E0,9.705288887E0
6.696241000E-2,-1.801795483E0,5.411966801E0,9.278169632E0
6.927715000E-2,-1.661815286E0,5.472983360E0,8.851649284E0
7.159183800E-2,-1.535593987E0,5.542973518E0,8.453842163E0
7.390657700E-2,-1.400997639E0,5.603990555E0,8.056035995E0
7.622126500E-2,-1.299302697E0,5.635097504E0,7.701299667E0
7.853600400E-2,-1.279561877E0,5.632106304E0,7.374679565E0
8.085069200E-2,-1.283749342E0,5.604588985E0,7.096513748E0
8.316543100E-2,-1.345364571E0,5.556732178E0,6.875775814E0
8.548011900E-2,-1.426720500E0,5.499304771E0,6.683752060E0
8.779485800E-2,-1.508076429E0,5.441278458E0,6.534798622E0
9.010954600E-2,-1.574477315E0,5.359324455E0,6.428916454E0
9.242428500E-2,-1.636690736E0,5.286941528E0,6.370890141E0
9.473897300E-2,-1.694118381E0,5.199603558E0,6.360720634E0
9.705371300E-2,-1.756331801E0,5.121836662E0,6.336792469E0
9.936840000E-2,-1.808973908E0,5.033900738E0,6.384050846E0
1.016831400E-1,-1.880758643E0,4.931607246E0,6.484549522E0
1.039978270E-1,-1.971685886E0,4.828716278E0,6.589235306E0
1.063125670E-1,-2.072782516E0,4.735395908E0,6.713662148E0
1.086272540E-1,-2.201995134E0,4.540380955E0,6.875775814E0
1.109419940E-1,-2.440080881E0,4.083351612E0,7.074978352E0
1.132566810E-1,-2.669193745E0,3.610769272E0,7.408777237E0
1.155714210E-1,-2.838485956E0,3.510869026E0,7.935796261E0
1.178861080E-1,-2.979064226E0,3.501297712E0,8.655437469E0
1.202008480E-1,-3.221337557E0,3.573680639E0,9.422935486E0
1.225155350E-1,-3.492922783E0,3.659822226E0,1.017727280E1
1.248302750E-1,-3.811766386E0,3.736990690E0,1.083470058E1
1.271449630E-1,-4.116851330E0,3.800998688E0,1.136291695E1
1.294597020E-1,-4.420739651E0,3.854837179E0,1.180917835E1
1.317743900E-1,-4.667200565E0,3.914657831E0,1.217468166E1
1.340891290E-1,-4.898108006E0,3.931407690E0,1.243370438E1
1.364038170E-1,-5.029115200E0,3.973282099E0,1.253958702E1
1.387185560E-1,-5.082355499E0,4.001996040E0,1.259222889E1
1.410332440E-1,-5.091926575E0,4.021138668E0,1.262632656E1
1.433479830E-1,-5.063212872E0,4.050450325E0,1.250130177E1
1.456627230E-1,-5.005186558E0,4.051048756E0,1.252523041E1
1.479644940E-1,-4.856233597E0,4.071387768E0,1.252044487E1
1.502920980E-1,-4.697110653E0,4.063013077E0,1.242473125E1
1.526068380E-1,-4.470989227E0,4.089334011E0,1.230030441E1
1.549215770E-1,-4.196412563E0,4.111467361E0,1.206999588E1
1.572362650E-1,-3.917050600E0,4.133601189E0,1.180558872E1
1.595509520E-1,-3.545564890E0,4.195814610E0,1.146999550E1
1.618656920E-1,-3.223132133E0,4.258028030E0,1.100997543E1
1.641803790E-1,-2.938386202E0,4.277170658E0,1.042433167E1
1.664951190E-1,-2.609971285E0,4.281357765E0,9.901499748E0
1.687969420E-1,-2.280958176E0,4.248456478E0,9.171689034E0
1.711245460E-1,-1.947757602E0,4.150949001E0,8.701499939E0
1.734392850E-1,-1.618744493E0,4.035495281E0,8.057829857E0
1.757410560E-1,-1.261017561E0,3.894917011E0,7.548159122E0
1.780686600E-1,-9.469595551E-1,3.768097401E0,7.101299286E0
1.803834000E-1,-6.227321029E-1,3.569493294E0,6.601199627E0
1.826852230E-1,-3.655036688E-1,3.350549936E0,6.230311871E0
1.850128270E-1,-9.930214286E-2,3.107080221E0,5.874379635E0
1.873275670E-1,1.244267747E-1,2.834298372E0,5.575276852E0
1.896293380E-1,2.799602449E-1,2.531008244E0,5.401198864E0
1.919569940E-1,3.487538993E-1,2.202593327E0,5.404190063E0
1.942716810E-1,3.308077157E-1,1.896311998E0,5.694917679E0
1.965735040E-1,1.920240223E-1,1.578664780E0,6.317649841E0
1.989011080E-1,-1.016949583E-2,1.277767301E0,7.169494629E0
2.012158480E-1,-2.943171859E-1,1.004985452E0,8.170890808E0
2.035176190E-1,-6.418746710E-1,7.950153351E-1,9.196215630E0
2.058452750E-1,-9.840483069E-1,6.191428304E-1,1.013599682E1
2.081599630E-1,-1.263410330E0,4.929214716E-1,1.082632637E1
