"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.104617850E-1,-1.456032634E0,4.127618968E-1,1.117149067E1
2.127893900E-1,-1.585843205E0,3.870390654E-1,1.120499039E1
2.151041290E-1,-1.701895118E0,4.067798555E-1,1.101834965E1
2.174059000E-1,-1.850250125E0,4.223332107E-1,1.069172955E1
2.197335560E-1,-1.975275040E0,4.570291340E-1,1.031306553E1
2.220482440E-1,-2.152343988E0,5.060819983E-1,9.973284721E0
2.243629830E-1,-2.344367981E0,5.497509837E-1,9.637691498E0
2.266776710E-1,-2.502892494E0,5.844469070E-1,9.335597992E0
2.289924100E-1,-2.632703066E0,6.239284873E-1,9.009575844E0
2.313070980E-1,-2.699103832E0,6.299105883E-1,8.645268440E0
2.336218380E-1,-2.732005358E0,5.880361795E-1,8.246863365E0
2.359365250E-1,-2.736192703E0,5.557330847E-1,7.896314621E0
2.382383480E-1,-2.758924484E0,4.797609448E-1,7.632505894E0
2.405659520E-1,-2.773281336E0,3.397808075E-1,7.449455261E0
2.428806920E-1,-2.791825771E0,2.093719840E-1,7.362117290E0
2.451953790E-1,-2.872583628E0,4.486542568E-2,7.371089935E0
2.475101190E-1,-2.982653379E0,-1.357926875E-1,7.529016495E0
2.498248060E-1,-3.083750248E0,-2.739782035E-1,7.959724426E0
2.521395460E-1,-3.160320520E0,-4.109672904E-1,8.261219978E0
2.544542330E-1,-3.223132133E0,-4.905286431E-1,8.553742409E0
2.567689730E-1,-3.270988464E0,-5.449653864E-1,8.735597610E0
2.590836600E-1,-3.275774240E0,-6.131607890E-1,8.864809990E0
2.613984000E-1,-3.304488182E0,-6.711867452E-1,8.811569214E0
2.637130880E-1,-3.371487141E0,-7.094719410E-1,8.739784241E0
2.660278270E-1,-3.471985579E0,-7.202396393E-1,8.687142372E0
2.683425150E-1,-3.562912941E0,-7.788637877E-1,8.686544418E0
2.706572540E-1,-3.732205153E0,-7.776673436E-1,9.166305542E0
2.729590770E-1,-4.024129391E0,-7.112665176E-1,1.028913784E1
2.752866810E-1,-4.435695171E0,-6.496513486E-1,1.190190029E1
2.776013690E-1,-5.036891460E0,-4.486542344E-1,1.355773354E1
2.799031920E-1,-5.601597786E0,-7.537391037E-2,1.366062450E1
2.822307960E-1,-5.492125988E0,2.422732860E-1,1.314437294E1
2.845455350E-1,-4.847858906E0,4.983053207E-1,1.306899929E1
2.868473580E-1,-3.835096598E0,7.483552694E-1,1.365942764E1
2.891749630E-1,-2.033899307E0,1.152144074E0,1.444247913E1
2.914896500E-1,-7.848458290E-1,1.395015597E0,1.484566975E1
2.937914730E-1,-1.077966571E0,1.344168067E0,1.496531105E1
2.961190770E-1,-1.356730461E0,1.318445325E0,1.496052551E1
2.984338170E-1,-1.375872970E0,1.172483087E0,1.506521130E1
3.007356400E-1,-1.124626637E0,9.565308690E-1,1.515972805E1
3.030632440E-1,-7.232306600E-1,5.820540786E-1,1.502812290E1
3.053779830E-1,-3.349951804E-1,1.106680483E-1,1.497787380E1
3.076797540E-1,-4.366901144E-2,-4.624129832E-1,1.483071518E1
3.100074100E-1,3.248256743E-1,-9.439685345E-1,1.472722530E1
3.123220980E-1,8.428717852E-1,-1.389033556E0,1.455254936E1
3.146239210E-1,1.269392371E0,-1.809572101E0,1.396451283E1
3.169515250E-1,1.633699656E0,-2.224128723E0,1.307976723E1
3.192662650E-1,1.998605132E0,-2.608774900E0,1.212323570E1
3.215680350E-1,2.449054003E0,-2.959323406E0,1.126720333E1
3.238956920E-1,2.972483873E0,-3.282952785E0,1.064626598E1
3.262103790E-1,3.421138287E0,-3.500101328E0,1.023230743E1
3.285122020E-1,3.662813187E0,-3.555734396E0,1.002114105E1
3.308398060E-1,3.715455294E0,-3.564707518E0,9.934401512E0
3.331545460E-1,3.503690481E0,-3.556332588E0,9.934999466E0
3.354563170E-1,3.037090063E0,-3.491726398E0,9.983454704E0
3.377839730E-1,2.386242390E0,-3.390031576E0,1.009950638E1
3.400986600E-1,1.567298889E0,-3.284747362E0,1.026341438E1
3.424004830E-1,-1.794617064E-2,-3.129213810E0,1.104706383E1
3.447280880E-1,-2.182852507E0,-2.750549555E0,1.206221867E1
3.470428270E-1,-3.879363775E0,-2.278565407E0,1.235354519E1
3.493446500E-1,-4.762315273E0,-1.740180254E0,1.199222851E1
3.516722540E-1,-4.898705959E0,-1.177268744E0,1.134257793E1
3.539869420E-1,-4.530211449E0,-5.760720372E-1,1.064028454E1
3.562887650E-1,-3.848257065E0,3.649054468E-2,9.803992271E0
3.586163690E-1,-3.152543783E0,6.305087805E-1,8.900103569E0
3.609311080E-1,-2.479562521E0,1.195214868E0,7.966903210E0
3.632329310E-1,-1.951945066E0,1.739582062E0,7.163512707E0
3.655605350E-1,-1.457827210E0,2.253440619E0,6.609574318E0
3.678752230E-1,-9.738788009E-1,2.755933523E0,6.400800705E0
3.701770460E-1,-4.761717021E-1,3.251247883E0,6.527620316E0
3.725046500E-1,-1.280160099E-1,3.720839262E0,6.856035233E0
3.748193900E-1,1.375873014E-2,4.083950043E0,7.159923553E0
3.771212130E-1,-3.110669367E-2,4.387240410E0,7.338787079E0
3.794488170E-1,-1.627119333E-1,4.608576298E0,7.398009300E0
3.817635040E-1,-3.170489967E-1,4.728217602E0,7.485347271E0
3.840653270E-1,-5.096712112E-1,4.721039295E0,7.652844906E0
3.863929310E-1,-6.161518097E-1,4.598406792E0,7.882555962E0
3.887076710E-1,-6.927221417E-1,4.442275047E0,8.106883049E0
3.910223580E-1,-7.010970116E-1,4.218546391E0,8.312067986E0
3.933370980E-1,-6.664010882E-1,3.961916208E0,8.478368759E0
3.956517850E-1,-5.982056856E-1,3.666402578E0,8.592626572E0
3.979665250E-1,-5.485545993E-1,3.395415306E0,8.634500504E0
4.002812130E-1,-4.983053207E-1,3.120240688E0,8.632705688E0
4.025959520E-1,-4.636093974E-1,2.888735056E0,8.583653450E0
4.049106400E-1,-4.576273263E-1,2.666202545E0,8.568099976E0
4.072253790E-1,-5.000999570E-1,2.505883455E0,8.553144455E0
4.095499100E-1,-5.718846321E-1,2.335993052E0,8.638688087E0
4.118548060E-1,-6.867401004E-1,2.199003935E0,8.877371788E0
4.141695460E-1,-8.309076428E-1,2.056032896E0,9.221938133E0
4.164842330E-1,-9.900303483E-1,1.956730723E0,9.552745819E0
4.187989210E-1,-1.205982566E0,1.852642894E0,9.768698692E0
4.211136600E-1,-1.432104349E0,1.773679733E0,9.839884758E0
4.234284000E-1,-1.663609982E0,1.747956991E0,9.825528145E0
4.257430880E-1,-1.860419631E0,1.741974831E0,9.796813965E0
4.280578270E-1,-2.038684845E0,1.770090580E0,9.811769485E0
4.303725150E-1,-2.216950178E0,1.817348838E0,9.860223770E0
4.326872540E-1,-2.380858421E0,1.902892232E0,9.875179291E0
4.350019420E-1,-2.597409010E0,1.959721804E0,9.870393753E0
4.373166810E-1,-2.848057270E0,1.953739643E0,9.856036186E0
4.396313690E-1,-3.055036306E0,1.917847395E0,9.928419113E0
4.419461080E-1,-3.199203968E0,1.868196249E0,1.007677460E1
4.442607960E-1,-3.257827997E0,1.901097536E0,1.022034359E1
4.465755350E-1,-3.257827997E0,1.933998942E0,1.040279675E1
4.488902230E-1,-3.191427231E0,2.030309916E0,1.057149029E1
4.512049630E-1,-3.038286448E0,2.151147604E0,1.068215847E1
4.535196500E-1,-2.842075109E0,2.297109842E0,1.072582722E1
4.558343900E-1,-2.568096876E0,2.444268227E0,1.073121166E1
4.581490770E-1,-2.309073925E0,2.614757061E0,1.072223854E1
4.604638170E-1,-2.035693884E0,2.757728100E0,1.064626598E1
4.627785040E-1,-1.785643935E0,2.885744095E0,1.049312592E1
4.650932440E-1,-1.578664780E0,2.941377163E0,1.029212856E1
4.674079310E-1,-1.400399446E0,2.977269650E0,1.006181908E1
4.697226710E-1,-1.235892892E0,2.955734253E0,9.798010826E0
4.720373580E-1,-1.120439172E0,2.962314367E0,9.552745819E0
4.743520980E-1,-1.018744230E0,2.944368362E0,9.317651749E0
4.766667850E-1,-9.798609018E-1,2.931207657E0,9.111868858E0
4.789815250E-1,-9.553344250E-1,2.956930637E0,8.895915985E0
4.812962130E-1,-9.074779749E-1,3.040081263E0,8.685347557E0
4.836109520E-1,-9.074779749E-1,3.128017426E0,8.502895355E0
4.859256400E-1,-9.607182741E-1,3.224926710E0,8.369495392E0
4.882403790E-1,-9.517452121E-1,3.312862873E0,8.259425163E0
4.905550670E-1,-7.208378315E-1,3.376870871E0,8.240880966E0
4.928698060E-1,-3.840480447E-1,3.432504177E0,8.255238533E0
4.951844940E-1,-5.724828243E-1,3.484548092E0,8.265407562E0
4.974992330E-1,-7.794619799E-1,3.545564890E0,8.289336205E0
4.998139210E-1,-9.768698215E-1,3.573082447E0,8.390432358E0
5.021286600E-1,-1.135992527E0,3.625126362E0,8.477172852E0
5.044433480E-1,-1.285543919E0,3.638286829E0,8.477172852E0
5.067580880E-1,-1.377069473E0,3.667000771E0,8.511270523E0
5.090728270E-1,-1.478166223E0,3.729214191E0,8.472985268E0
5.113875150E-1,-1.502094388E0,3.729214191E0,8.410771370E0
5.137022540E-1,-1.434497118E0,3.744767427E0,8.281558990E0
5.160169420E-1,-1.314257860E0,3.751347780E0,8.084749222E0
5.183316290E-1,-1.164706469E0,3.777668715E0,7.950751305E0
5.206463690E-1,-9.481559992E-1,3.803989887E0,7.835297585E0
5.229611080E-1,-7.322037220E-1,3.859024763E0,7.739584923E0
5.252757960E-1,-5.443671346E-1,3.908675671E0,7.629515171E0
5.275905350E-1,-4.145565331E-1,3.997210264E0,7.514659405E0
5.299052230E-1,-4.241278172E-1,4.099503517E0,7.332805157E0
5.322199630E-1,-5.742774606E-1,4.220939159E0,7.060023308E0
5.345346500E-1,-7.477570772E-1,4.394418716E0,6.921837807E0
5.368493900E-1,-9.170492887E-1,4.601397991E0,6.875177860E0
5.391640770E-1,-9.421738982E-1,4.799404144E0,6.900302410E0
5.414788170E-1,-8.518448472E-1,4.988437176E0,7.011568546E0
5.437935040E-1,-6.610172391E-1,5.177470207E0,7.189833641E0
5.461082440E-1,-3.972085714E-1,5.347360611E0,7.397411346E0
5.484229310E-1,-1.339980662E-1,5.512465000E0,7.584649563E0
5.507376710E-1,1.585244983E-1,5.677569866E0,7.758129120E0
5.530523580E-1,4.031906128E-1,5.799603939E0,7.873582840E0
5.553670980E-1,6.340979934E-1,5.873183250E0,7.922037601E0
5.576817850E-1,8.021938205E-1,5.937191010E0,7.902894974E0
5.599965250E-1,8.739784956E-1,5.943173409E0,7.835896015E0
5.623112130E-1,8.500502706E-1,5.943173409E0,7.744968891E0
5.646259520E-1,7.734799385E-1,5.914459229E0,7.605587006E0
5.669406400E-1,6.346961856E-1,5.861218929E0,7.451848030E0
5.692553790E-1,5.096712112E-1,5.783452511E0,7.316653252E0
5.715700670E-1,3.906283081E-1,5.687141418E0,7.095915318E0
5.738848060E-1,2.518445849E-1,5.595615864E0,6.860222340E0
5.761994940E-1,1.758724600E-1,5.490331650E0,6.548557281E0
5.785142330E-1,1.046859920E-1,5.438885689E0,6.163911343E0
5.808289730E-1,1.010967568E-1,5.397011280E0,5.746961594E0
5.831436600E-1,3.409772366E-2,5.413163185E0,5.358726501E0
5.854454830E-1,-1.818545163E-1,5.413163185E0,5.123033047E0
5.877730880E-1,-5.479564071E-1,5.420939922E0,5.041677475E0
5.900878270E-1,-1.000199914E0,5.426921844E0,5.162514687E0
5.923895980E-1,-1.423729420E0,5.404190063E0,5.306682587E0
5.947172540E-1,-1.794616938E0,5.372485161E0,5.416752338E0
5.970319420E-1,-2.030309916E0,5.356333256E0,5.445466042E0
5.993337650E-1,-2.097309113E0,5.346762180E0,5.383252621E0
6.016613690E-1,-2.015354872E0,5.367101192E0,5.297111034E0
6.039761080E-1,-1.784447432E0,5.388038158E0,5.201398373E0
6.062907960E-1,-1.471585870E0,5.448457241E0,5.109872818E0
6.086055350E-1,-1.135394335E0,5.513661385E0,5.114658356E0
6.109202230E-1,-8.327022791E-1,5.597410202E0,5.172684193E0
6.132349630E-1,-5.928218365E-1,5.680561066E0,5.312066078E0
6.155496500E-1,-4.636093974E-1,5.791827202E0,5.461617470E0
6.178643900E-1,-4.402793646E-1,5.877370834E0,5.687141418E0
6.201790770E-1,-4.600201547E-1,5.968297958E0,5.898307800E0
6.224938170E-1,-5.186443329E-1,6.093322754E0,6.071787357E0
6.248085040E-1,-5.778666735E-1,6.159723759E0,6.263811588E0
6.271232440E-1,-5.976074338E-1,6.236293793E0,6.408577442E0
6.294379310E-1,-5.934200287E-1,6.293721676E0,6.552744865E0
6.317526710E-1,-5.365904570E-1,6.332006931E0,6.696912289E0
6.340673580E-1,-3.966103494E-1,6.356533527E0,6.831508636E0
6.363820980E-1,-2.093719840E-1,6.371488571E0,6.999006271E0
6.386967850E-1,7.178467698E-3,6.376872540E0,7.080362320E0
6.410115250E-1,2.135594189E-1,6.373282909E0,7.161718369E0
6.433262130E-1,3.912265003E-1,6.373881340E0,7.185646534E0
6.456409520E-1,5.168496966E-1,6.370292187E0,7.190432072E0
6.479556400E-1,5.886343718E-1,6.361319065E0,7.122834682E0
6.502703790E-1,6.861419082E-1,6.347560406E0,7.041478634E0
6.525850670E-1,7.387840152E-1,6.343372822E0,6.931408882E0
6.548998060E-1,8.165507317E-1,6.339783669E0,6.782455921E0
6.572145460E-1,9.080761671E-1,6.345765591E0,6.658029079E0
6.595292330E-1,9.559326172E-1,6.342176437E0,6.518647194E0
6.618439730E-1,9.900303483E-1,6.381658077E0,6.413362980E0
6.641586600E-1,9.900303483E-1,6.425326824E0,6.322435856E0
6.664734000E-1,9.320043921E-1,6.468996048E0,6.270391941E0
6.687880880E-1,8.213363886E-1,6.516852379E0,6.207580090E0
6.711028270E-1,6.813562512E-1,6.564708710E0,6.164509296E0
6.734175150E-1,5.222335458E-1,6.602396011E0,6.093322754E0
6.757322540E-1,3.487538993E-1,6.640681267E0,6.021538258E0
6.780469420E-1,1.615155339E-1,6.659225464E0,5.949753284E0
6.803616810E-1,-1.196411345E-2,6.677769661E0,5.834897995E0
6.826763690E-1,-1.609173268E-1,6.682555676E0,5.743970871E0
6.849911080E-1,-3.242274821E-1,6.686742783E0,5.657829285E0
6.873057960E-1,-4.779663086E-1,6.675975323E0,5.590830326E0
6.896205350E-1,-6.323033571E-1,6.641877651E0,5.551946640E0
6.919352230E-1,-8.147560954E-1,6.592226505E0,5.547161102E0
6.942499630E-1,-1.025922656E0,6.556932449E0,5.618945599E0
6.965646500E-1,-1.310070395E0,6.510870457E0,5.676373482E0
6.988793900E-1,-1.559522152E0,6.451049805E0,5.748157978E0
7.011940770E-1,-1.776670814E0,6.372086525E0,5.824728489E0
7.034959000E-1,-1.949552298E0,6.283552170E0,5.881557941E0
7.058235040E-1,-2.021337032E0,6.205785751E0,5.953342915E0
7.081382440E-1,-2.011167526E0,6.108277798E0,6.063412666E0
7.104529830E-1,-1.900499344E0,6.006583214E0,6.211169243E0
7.127676710E-1,-1.755733609E0,5.914459229E0,6.412764549E0
7.150824100E-1,-1.577468276E0,5.831906796E0,6.656832695E0
7.173970980E-1,-1.380658627E0,5.769095421E0,6.972685337E0
7.197118380E-1,-1.183250785E0,5.700900078E0,7.288537979E0
7.220265250E-1,-9.672985673E-1,5.642873764E0,7.595417500E0
7.243283480E-1,-7.848458290E-1,5.637490273E0,7.911868095E0
7.266559520E-1,-6.406782866E-1,5.608178139E0,8.165507317E0
7.289706920E-1,-5.060819983E-1,5.598008633E0,8.376673698E0
7.312724630E-1,-3.912265003E-1,5.612365723E0,8.573483467E0
7.336001190E-1,-2.907279432E-1,5.651248932E0,8.722436905E0
7.359148060E-1,-1.896311939E-1,5.679962635E0,8.833105087E0
7.382166290E-1,-9.870393574E-2,5.723631859E0,8.924032211E0
7.405442330E-1,-2.991028363E-3,5.729015827E0,9.005388260E0
7.428589730E-1,9.332008660E-2,5.782256126E0,9.077771187E0
7.451736600E-1,1.890329868E-1,5.806782246E0,9.154341698E0
7.474884000E-1,2.991028428E-1,5.840879917E0,9.241081238E0
7.498030880E-1,3.804588020E-1,5.884549141E0,9.303294182E0
7.521178270E-1,4.378865361E-1,5.923432350E0,9.351749420E0
7.544325150E-1,4.570291340E-1,5.961717606E0,9.394820213E0
7.567472540E-1,4.187439680E-1,5.976074696E0,9.423533440E0
7.590619420E-1,4.085744619E-1,5.990431309E0,9.476774216E0
7.613766810E-1,3.361915946E-1,6.004190445E0,9.476774216E0
7.636913690E-1,2.787638307E-1,5.989833355E0,9.438488960E0
7.660061080E-1,2.548356056E-1,5.999404430E0,9.376275063E0
7.683207960E-1,2.021935135E-1,5.989833355E0,9.251250267E0
7.706355350E-1,1.740778536E-1,5.956932068E0,9.126225471E0
7.729502230E-1,1.597209126E-1,5.928217888E0,8.992227554E0
7.752649630E-1,1.262213886E-1,5.904289722E0,8.852845192E0
7.775797020E-1,6.400800496E-2,5.885147095E0,8.718847275E0
7.798943900E-1,-3.170489892E-2,5.866004944E0,8.574680328E0
7.822091290E-1,-1.274178028E-1,5.861218929E0,8.449654579E0
7.845238170E-1,-2.039881349E-1,5.856433392E0,8.325227737E0
7.868385560E-1,-2.715853751E-1,5.885745525E0,8.229515076E0
7.891532440E-1,-3.290131092E-1,5.866602898E0,8.157132149E0
7.914679830E-1,-3.720839322E-1,5.890531063E0,8.099704742E0
7.937826710E-1,-4.157529473E-1,5.904888153E0,8.090133667E0
7.960974100E-1,-4.444667995E-1,5.885147095E0,8.104490280E0
7.984120980E-1,-5.072783828E-1,5.889334679E0,8.138587952E0
8.007268380E-1,-5.557330847E-1,5.879165173E0,8.167302132E0
8.030415250E-1,-6.376872063E-1,5.873781204E0,8.215158463E0
8.053562650E-1,-7.148557901E-1,5.863611698E0,8.263014793E0
8.076709520E-1,-7.914260626E-1,5.843272686E0,8.296514511E0
8.099856920E-1,-8.685946465E-1,5.813961029E0,8.310871124E0
8.123003790E-1,-8.925228715E-1,5.794219971E0,8.325227737E0
8.146151190E-1,-8.727820516E-1,5.755934715E0,8.267202377E0
8.169298060E-1,-8.338986635E-1,5.708078384E0,8.233702660E0
8.192445460E-1,-8.147560954E-1,5.688935757E0,8.194819450E0
8.215592330E-1,-7.902296782E-1,5.669793129E0,8.209176064E0
8.238739730E-1,-7.375875711E-1,5.645864964E0,8.204390526E0
8.261886600E-1,-7.088736892E-1,5.631507874E0,8.257032394E0
8.285034000E-1,-6.412764788E-1,5.617151260E0,8.324031830E0
8.308181400E-1,-5.982056856E-1,5.607579708E0,8.362317085E0
8.331328270E-1,-5.306084156E-1,5.602794170E0,8.424530029E0
8.354475670E-1,-4.725824594E-1,5.593223095E0,8.486743927E0
8.377622540E-1,-3.858426511E-1,5.598008633E0,8.549555779E0
8.400769940E-1,-3.044866920E-1,5.603392601E0,8.602197647E0
8.423916810E-1,-2.273181528E-1,5.593821049E0,8.630910873E0
8.447064210E-1,-1.651047617E-1,5.594419479E0,8.659625053E0
8.470211080E-1,-1.124626622E-1,5.599205017E0,8.712266922E0
8.493358480E-1,-8.315058798E-2,5.584847927E0,8.745766640E0
8.516505350E-1,-5.922235921E-2,5.579464436E0,8.793622971E0
8.539652750E-1,-4.486542568E-2,5.584249973E0,8.827720642E0
8.562799630E-1,-5.443671346E-2,5.589035511E0,8.818149567E0
8.585947020E-1,-6.879365444E-2,5.598606586E0,8.808578491E0
8.609093900E-1,-6.460621208E-2,5.627918720E0,8.789435387E0
8.632241290E-1,-6.460621208E-2,5.662016392E0,8.760722160E0
8.655388170E-1,-7.896314561E-2,5.666802406E0,8.693722725E0
8.678535560E-1,-1.028913707E-1,5.686542988E0,8.617152214E0
8.701682440E-1,-1.411765367E-1,5.691926956E0,8.506484032E0
8.724829830E-1,-1.363908947E-1,5.736194134E0,8.358129501E0
8.747976710E-1,-1.262213886E-1,5.756533146E0,8.180462837E0
8.771124100E-1,-1.166501045E-1,5.800800323E0,7.969893932E0
8.794270980E-1,-1.645065546E-1,5.845067501E0,7.754539967E0
8.817418380E-1,-2.027917206E-1,5.898906231E0,7.534400463E0
8.840565250E-1,-1.884347796E-1,5.938985825E0,7.336992264E0
8.863712650E-1,-2.171486616E-1,6.007181168E0,7.135995388E0
8.886860040E-1,-2.464607358E-1,6.061617851E0,6.987640381E0
8.910006920E-1,-2.416750938E-1,6.115456581E0,6.887141705E0
8.933154310E-1,-3.044866920E-1,6.173482418E0,6.839883327E0
8.956301190E-1,-3.332005441E-1,6.202196121E0,6.839883327E0
8.979448580E-1,-3.571287692E-1,6.216553211E0,6.859025955E0
9.002595460E-1,-3.864408433E-1,6.235097408E0,6.964908600E0
9.025742850E-1,-4.253242314E-1,6.195616245E0,7.122834682E0
9.048889730E-1,-4.731806815E-1,6.165107727E0,7.309474945E0
9.072037130E-1,-5.216353536E-1,6.139384747E0,7.521239758E0
9.095184000E-1,-6.041877270E-1,6.089733601E0,7.779664516E0
9.118331400E-1,-6.909275651E-1,5.995217323E0,8.018946648E0
9.141478270E-1,-8.063812256E-1,5.921039581E0,8.243872643E0
9.164625670E-1,-8.733802438E-1,5.827719688E0,8.435297966E0
9.187772540E-1,-9.936196208E-1,5.715256691E0,8.569893837E0
9.210919940E-1,-1.074975610E0,5.627320766E0,8.669795036E0
9.234066810E-1,-1.180259824E0,5.490929604E0,8.712865829E0
9.257214210E-1,-1.299900889E0,5.402993679E0,8.760123253E0
9.280361080E-1,-1.342971683E0,5.310869694E0,8.783453941E0
9.303508480E-1,-1.399801254E0,5.199005604E0,8.821739197E0
9.326655350E-1,-1.409372568E0,5.160121918E0,8.816354752E0
9.349802750E-1,-1.395015597E0,5.131408215E0,8.801998138E0
9.372950150E-1,-1.351346612E0,5.141577721E0,8.792427063E0
9.396097020E-1,-1.322632670E0,5.141577721E0,8.778069496E0
9.419244420E-1,-1.250848055E0,5.176273346E0,8.758927345E0
9.442391290E-1,-1.116251707E0,5.230112076E0,8.725427628E0
9.465538690E-1,-1.005583763E0,5.289334297E0,8.678169250E0
